nome;concretezza;animatezza
marzo;astratto;non_animato
aprile;astratto;non_animato
maggio;astratto;non_animato
giugno;astratto;non_animato
sabato;astratto;non_animato
domenica;astratto;non_animato
luglio;astratto;non_animato
agosto;astratto;non_animato
settembre;astratto;non_animato
ottobre;astratto;non_animato
novembre;astratto;non_animato
abito;concreto;non_animato
abitudine;astratto;non_animato
accordo;astratto;non_animato
acqua;concreto;non_animato
addio;astratto;non_animato
aeroplano;concreto;non_animato
affare;astratto;non_animato
affetto;astratto;non_animato
agente;concreto;umano
agricoltura;astratto;non_animato
aiuto;astratto;non_animato
ala;concreto;non_animato
alba;concreto;non_animato
albergo;concreto;non_animato
albero;concreto;non_animato
alleato;concreto;umano
allevamento;astratto;non_animato
alpino;astratto;non_animato
altezza;astratto;non_animato
amante;concreto;umano
ambiente;concreto;non_animato
americano;concreto;non_animato
amica;concreto;non_animato
amicizia;astratto;non_animato
amico;astratto;non_animato
amministrazione;astratto;non_animato
amore;astratto;non_animato
anello;concreto;non_animato
angelo;concreto;umano
angolo;concreto;non_animato
anima;astratto;non_animato
animale;concreto;animato
animo;astratto;non_animato
anno;astratto;non_animato
ansia;astratto;non_animato
apparecchio;concreto;non_animato
appartamento;concreto;non_animato
appetito;astratto;non_animato
appuntamento;astratto;non_animato
arabo;astratto;non_animato
arancia;concreto;non_animato
architetto;concreto;umano
arco;concreto;non_animato
argomento;astratto;non_animato
aria;concreto;non_animato
arma;concreto;non_animato
arte;astratto;non_animato
articolo;astratto;non_animato
artista;concreto;umano
aspetto;astratto;non_animato
assassino;concreto;umano
atmosfera;astratto;non_animato
atteggiamento;astratto;non_animato
attenzione;astratto;non_animato
attesa;astratto;non_animato
attimo;astratto;non_animato
attività;astratto;non_animato
atto;astratto;non_animato
attore;concreto;umano
automobile;concreto;non_animato
autorità;astratto;non_animato
avvenimento;astratto;non_animato
avvenire;astratto;non_animato
avventura;astratto;non_animato
avversario;astratto;non_animato
avvocato;concreto;umano
azione;astratto;non_animato
babbo;concreto;umano
bacio;astratto;non_animato
bagno;astratto;non_animato
balcone;concreto;non_animato
ballo;astratto;non_animato
bambina;astratto;non_animato
bambino;concreto;umano
banca;concreto;non_animato
banco;concreto;non_animato
bandiera;concreto;non_animato
bar;concreto;non_animato
barba;concreto;non_animato
base;concreto;non_animato
battaglia;concreto;non_animato
beato;concreto;non_animato
bellezza;astratto;non_animato
bello;astratto;non_animato
bene;astratto;non_animato
bestia;concreto;non_animato
biancheria;concreto;non_animato
bianco;concreto;non_animato
bicchiere;concreto;non_animato
bicicletta;concreto;non_animato
biglietto;concreto;non_animato
bisogno;astratto;non_animato
bocca;concreto;non_animato
bomba;concreto;non_animato
bombardamento;astratto;non_animato
bontà;astratto;non_animato
bordo;concreto;non_animato
borghese;concreto;non_animato
borsa;concreto;non_animato
bosco;concreto;non_animato
bottiglia;concreto;non_animato
braccio;concreto;non_animato
brigadiere;concreto;umano
brutto;concreto;non_animato
bue;concreto;animato
bugia;astratto;non_animato
buio;astratto;non_animato
buongiorno;astratto;non_animato
buono;astratto;non_animato
caccia;astratto;non_animato
cadavere;concreto;non_animato
caffè;concreto;non_animato
calcio;astratto;non_animato
caldo;astratto;non_animato
calma;astratto;non_animato
calza;concreto;non_animato
cambio;astratto;non_animato
camera;concreto;non_animato
cameriere;concreto;umano
camicia;concreto;non_animato
cammino;astratto;non_animato
campagna;concreto;non_animato
campione;concreto;umano
campo;concreto;non_animato
canale;concreto;non_animato
cane;concreto;animato
canto;astratto;non_animato
canzone;concreto;non_animato
capello;concreto;non_animato
capitale;astratto;non_animato
capitano;concreto;umano
capo;concreto;non_animato
cappello;concreto;non_animato
carabiniere;concreto;umano
carattere;astratto;non_animato
carbone;concreto;non_animato
carcere;concreto;non_animato
carica;astratto;non_animato
carità;astratto;non_animato
carne;concreto;non_animato
carogna;astratto;non_animato
carriera;astratto;non_animato
carrozza;concreto;non_animato
carta;concreto;non_animato
cartolina;concreto;non_animato
casa;concreto;non_animato
caso;astratto;non_animato
catena;concreto;non_animato
cattivo;concreto;non_animato
cattolico;concreto;non_animato
causa;astratto;non_animato
cavaliere;concreto;umano
cavallo;concreto;animato
cellula;concreto;non_animato
cena;concreto;non_animato
centinaio;astratto;non_animato
centro;concreto;non_animato
cerimonia;concreto;non_animato
certo;concreto;non_animato
cervello;concreto;non_animato
chiaro;concreto;non_animato
chiave;concreto;non_animato
chiesa;concreto;non_animato
chilogrammo;astratto;non_animato
chilometro;astratto;non_animato
ciao;astratto;non_animato
cibo;concreto;non_animato
cieco;concreto;non_animato
cielo;concreto;non_animato
cifra;concreto;non_animato
cima;concreto;non_animato
cimitero;concreto;non_animato
cinema;astratto;non_animato
circostanza;astratto;non_animato
città;concreto;non_animato
cittadino;concreto;umano
civile;concreto;non_animato
civiltà;astratto;non_animato
classe;astratto;non_animato
cliente;concreto;umano
clima;astratto;non_animato
coda;concreto;non_animato
cognome;astratto;non_animato
colazione;astratto;non_animato
collega;concreto;umano
collina;concreto;non_animato
collo;concreto;non_animato
colore;concreto;non_animato
colpa;astratto;non_animato
colpo;concreto;non_animato
coltello;concreto;non_animato
comando;astratto;non_animato
commercio;astratto;non_animato
comodità;astratto;non_animato
compagnia;astratto;non_animato
compagno;concreto;umano
compenso;astratto;non_animato
compito;astratto;non_animato
complesso;astratto;non_animato
completo;astratto;non_animato
complimento;astratto;non_animato
comune;astratto;non_animato
comunicazione;astratto;non_animato
comunista;concreto;umano
condizione;astratto;non_animato
confessione;astratto;non_animato
confine;concreto;non_animato
confronto;astratto;non_animato
confusione;astratto;non_animato
conoscenza;astratto;non_animato
conseguenza;astratto;non_animato
consenso;astratto;non_animato
consiglio;astratto;non_animato
contadino;concreto;umano
contatto;astratto;non_animato
conte;concreto;umano
continente;concreto;non_animato
conto;astratto;non_animato
contrario;astratto;non_animato
contratto;concreto;non_animato
convento;concreto;non_animato
coraggio;astratto;non_animato
corda;concreto;non_animato
corno;concreto;non_animato
corpo;concreto;non_animato
corrente;astratto;non_animato
corsa;astratto;non_animato
corso;astratto;non_animato
corte;concreto;non_animato
cortile;concreto;non_animato
cosa;concreto;non_animato
coscienza;astratto;non_animato
costa;concreto;non_animato
costo;astratto;non_animato
costruzione;astratto;non_animato
creatura;concreto;non_animato
cretino;concreto;non_animato
crisi;astratto;non_animato
cristiano;astratto;non_animato
Cristo;concreto;umano
croce;concreto;non_animato
cucina;concreto;non_animato
cuore;concreto;non_animato
cura;astratto;non_animato
curiosità;astratto;non_animato
curva;concreto;non_animato
custode;concreto;umano
danno;astratto;non_animato
debito;astratto;non_animato
decina;astratto;non_animato
decisione;astratto;non_animato
delinquente;concreto;umano
delitto;astratto;non_animato
denaro;concreto;non_animato
dente;concreto;non_animato
desiderio;astratto;non_animato
destino;astratto;non_animato
destra;astratto;non_animato
diavolo;concreto;animato
difesa;astratto;non_animato
difetto;astratto;non_animato
differenza;astratto;non_animato
difficoltà;astratto;non_animato
dimensione;astratto;non_animato
dio;concreto;animato
direttore;concreto;umano
direzione;astratto;non_animato
diritto;astratto;non_animato
disco;concreto;non_animato
discorso;astratto;non_animato
disegno;concreto;non_animato
disgrazia;astratto;non_animato
disgraziato;astratto;non_animato
disordine;astratto;non_animato
disperazione;astratto;non_animato
disposizione;astratto;non_animato
distanza;astratto;non_animato
disturbo;astratto;non_animato
dito;concreto;non_animato
divisione;astratto;non_animato
documento;concreto;non_animato
dolore;astratto;non_animato
domanda;astratto;non_animato
domani;astratto;non_animato
don;concreto;umano
donna;concreto;umano
doppio;concreto;non_animato
dote;astratto;non_animato
dottore;concreto;umano
dovere;astratto;non_animato
dubbio;astratto;non_animato
eccellenza;astratto;non_animato
educazione;astratto;non_animato
effetto;astratto;non_animato
elemento;astratto;non_animato
emozione;astratto;non_animato
energia;astratto;non_animato
entusiasmo;astratto;non_animato
episodio;astratto;non_animato
epoca;astratto;non_animato
erba;concreto;non_animato
eroe;concreto;umano
errore;astratto;non_animato
esame;astratto;non_animato
esempio;astratto;non_animato
esercito;concreto;non_animato
esilio;astratto;non_animato
esistenza;astratto;non_animato
esperienza;astratto;non_animato
esposizione;astratto;non_animato
espressione;astratto;non_animato
estate;astratto;non_animato
esterno;astratto;non_animato
estero;astratto;non_animato
estraneo;astratto;non_animato
età;astratto;non_animato
europeo;astratto;non_animato
fabbrica;concreto;non_animato
faccenda;astratto;non_animato
faccia;concreto;non_animato
facciata;concreto;non_animato
falso;concreto;non_animato
fame;astratto;non_animato
famiglia;concreto;umano
fantasia;astratto;non_animato
fascista;concreto;umano
fastidio;astratto;non_animato
fatica;astratto;non_animato
fatto;concreto;non_animato
favore;astratto;non_animato
fede;astratto;non_animato
felicità;astratto;non_animato
fenomeno;astratto;non_animato
ferita;concreto;non_animato
fermo;concreto;non_animato
ferro;concreto;non_animato
festa;concreto;non_animato
fianco;concreto;non_animato
fiato;concreto;non_animato
fidanzato;concreto;umano
fiducia;astratto;non_animato
figlia;astratto;non_animato
figlio;concreto;umano
figliola;concreto;non_animato
figliolo;concreto;umano
figura;concreto;non_animato
fila;concreto;non_animato
film;concreto;non_animato
filo;concreto;non_animato
fine;astratto;non_animato
finestra;concreto;non_animato
fiore;concreto;non_animato
firma;astratto;non_animato
fisico;concreto;non_animato
fiume;concreto;non_animato
foglia;concreto;non_animato
foglio;concreto;non_animato
folla;concreto;umano
fondo;concreto;non_animato
foresta;concreto;non_animato
forma;astratto;non_animato
formula;astratto;non_animato
forte;astratto;non_animato
fortuna;astratto;non_animato
forza;astratto;non_animato
fotografia;concreto;non_animato
francese;concreto;non_animato
frase;astratto;non_animato
frate;concreto;umano
fratello;concreto;umano
fretta;astratto;non_animato
fronte;check;non_animato
frutta;concreto;non_animato
frutto;concreto;non_animato
fuga;astratto;non_animato
fumo;concreto;non_animato
funerale;astratto;non_animato
funzione;astratto;non_animato
fuoco;concreto;non_animato
futuro;astratto;non_animato
gamba;concreto;non_animato
gara;astratto;non_animato
gas;concreto;non_animato
gatto;concreto;animato
generale;concreto;non_animato
generazione;astratto;non_animato
genere;astratto;non_animato
genitore;concreto;umano
gente;concreto;umano
gesto;astratto;non_animato
ghiaccio;concreto;non_animato
giacca;concreto;non_animato
giallo;concreto;non_animato
giardino;concreto;non_animato
ginocchio;concreto;non_animato
gioco;astratto;non_animato
gioia;astratto;non_animato
giornale;concreto;non_animato
giornata;astratto;non_animato
giorno;astratto;non_animato
giovane;astratto;non_animato
giovanotto;concreto;umano
giro;astratto;non_animato
giudizio;astratto;non_animato
giunta;astratto;non_animato
giustizia;astratto;non_animato
giusto;astratto;non_animato
gloria;astratto;non_animato
goccia;concreto;non_animato
gola;concreto;non_animato
gomma;concreto;non_animato
governo;astratto;non_animato
grado;astratto;non_animato
grano;concreto;non_animato
grazia;astratto;non_animato
greco;astratto;non_animato
grigio;astratto;non_animato
gruppo;concreto;non_animato
guaio;astratto;non_animato
guardia;astratto;non_animato
guerra;concreto;non_animato
guida;astratto;non_animato
gusto;astratto;non_animato
idea;astratto;non_animato
ieri;astratto;non_animato
illusione;astratto;non_animato
immagine;astratto;non_animato
impegno;astratto;non_animato
importanza;astratto;non_animato
impresa;astratto;non_animato
impressione;astratto;non_animato
incerto;astratto;non_animato
incidente;astratto;non_animato
incontro;astratto;non_animato
indipendenza;astratto;non_animato
indirizzo;concreto;non_animato
industria;concreto;non_animato
industriale;concreto;non_animato
infanzia;astratto;non_animato
inferno;concreto;non_animato
infinito;concreto;non_animato
informazione;astratto;non_animato
ingegnere;concreto;umano
inglese;concreto;non_animato
ingresso;astratto;non_animato
inizio;astratto;non_animato
innocente;astratto;non_animato
intelligenza;astratto;non_animato
intenzione;astratto;non_animato
interesse;astratto;non_animato
interno;astratto;non_animato
intero;astratto;non_animato
inverno;astratto;non_animato
invito;astratto;non_animato
isola;concreto;non_animato
istante;astratto;non_animato
italiano;astratto;non_animato
labbro;concreto;non_animato
laboratorio;concreto;non_animato
lacrima;concreto;non_animato
ladro;concreto;umano
lago;concreto;non_animato
largo;concreto;non_animato
latino;concreto;non_animato
lato;concreto;non_animato
latte;concreto;non_animato
lavoro;astratto;non_animato
legge;astratto;non_animato
legno;concreto;non_animato
lettera;astratto;non_animato
letto;concreto;non_animato
lezione;astratto;non_animato
libertà;astratto;non_animato
libro;concreto;non_animato
limite;astratto;non_animato
linea;concreto;non_animato
lingua;concreto;non_animato
lira;concreto;non_animato
lista;concreto;non_animato
località;astratto;non_animato
lotta;astratto;non_animato
luce;concreto;non_animato
luna;concreto;non_animato
luogo;concreto;non_animato
lupo;concreto;animato
lusso;astratto;non_animato
macchia;concreto;non_animato
macchina;concreto;non_animato
madre;concreto;umano
maestro;check;umano
maggiore;astratto;non_animato
maglia;concreto;non_animato
malato;concreto;non_animato
malattia;astratto;non_animato
male;astratto;non_animato
mamma;concreto;umano
mancanza;astratto;non_animato
maniera;astratto;non_animato
mano;concreto;non_animato
marcia;astratto;non_animato
mare;concreto;non_animato
maresciallo;concreto;umano
marito;concreto;umano
marmo;concreto;non_animato
maschio;concreto;umano
massa;concreto;non_animato
massimo;concreto;non_animato
materia;concreto;non_animato
materiale;concreto;non_animato
matrimonio;astratto;non_animato
mattina;astratto;non_animato
mattino;astratto;non_animato
matto;astratto;non_animato
medicina;astratto;non_animato
medico;concreto;umano
mela;concreto;non_animato
membro;astratto;non_animato
memoria;astratto;non_animato
mente;astratto;non_animato
meraviglia;astratto;non_animato
mercato;concreto;non_animato
merito;astratto;non_animato
mese;astratto;non_animato
messa;astratto;non_animato
mestiere;astratto;non_animato
metà;astratto;non_animato
metro;astratto;non_animato
mezzo;astratto;non_animato
mezzogiorno;astratto;non_animato
migliaio;astratto;non_animato
milanese;astratto;non_animato
miliardo;astratto;non_animato
milione;astratto;non_animato
militare;astratto;non_animato
mille;astratto;non_animato
minerale;astratto;non_animato
minimo;astratto;non_animato
ministro;concreto;umano
minore;concreto;non_animato
minuto;concreto;non_animato
miracolo;astratto;non_animato
miseria;astratto;non_animato
mistero;astratto;non_animato
misura;astratto;non_animato
mobile;concreto;non_animato
modello;astratto;non_animato
moderno;astratto;non_animato
modo;astratto;non_animato
moglie;concreto;umano
momento;astratto;non_animato
mondo;concreto;non_animato
montagna;concreto;non_animato
monte;concreto;non_animato
monumento;concreto;non_animato
mortale;concreto;non_animato
morte;astratto;non_animato
mostro;concreto;animato
motivo;astratto;non_animato
moto;concreto;non_animato
motocicletta;concreto;non_animato
motore;concreto;non_animato
movimento;astratto;non_animato
mucchio;concreto;non_animato
muro;concreto;non_animato
museo;concreto;non_animato
musica;concreto;non_animato
nascita;astratto;non_animato
naso;concreto;non_animato
natale;astratto;non_animato
natura;astratto;non_animato
nave;concreto;non_animato
nazione;astratto;non_animato
nebbia;concreto;non_animato
necessario;concreto;non_animato
necessità;astratto;non_animato
negozio;concreto;non_animato
nemico;concreto;non_animato
nero;concreto;non_animato
nervo;concreto;non_animato
neve;concreto;non_animato
nipote;concreto;umano
nobile;concreto;non_animato
noia;astratto;non_animato
nome;astratto;non_animato
nonna;concreto;umano
nord;astratto;non_animato
notizia;astratto;non_animato
notte;astratto;non_animato
novità;astratto;non_animato
nudo;astratto;non_animato
numero;astratto;non_animato
nuovo;astratto;non_animato
nuvola;concreto;non_animato
obbligo;astratto;non_animato
occasione;astratto;non_animato
occhiata;astratto;non_animato
occhio;concreto;non_animato
occidentale;concreto;non_animato
occupazione;astratto;non_animato
odio;astratto;non_animato
odore;astratto;non_animato
oggetto;concreto;non_animato
oggi;astratto;non_animato
olio;concreto;non_animato
oliva;concreto;non_animato
ombra;concreto;non_animato
onda;concreto;non_animato
onore;astratto;non_animato
opera;astratto;non_animato
operaio;concreto;umano
operazione;astratto;non_animato
opinione;astratto;non_animato
ora;astratto;non_animato
ordine;astratto;non_animato
orecchio;concreto;non_animato
oro;concreto;non_animato
orologio;concreto;non_animato
orrore;astratto;non_animato
orto;concreto;non_animato
ospedale;concreto;non_animato
ospite;concreto;umano
osso;concreto;non_animato
pacco;concreto;non_animato
pace;astratto;non_animato
padre;concreto;umano
padrone;concreto;umano
paese;concreto;non_animato
pagina;concreto;non_animato
paio;astratto;non_animato
palazzo;concreto;non_animato
palla;concreto;non_animato
pane;concreto;non_animato
papa;concreto;umano
papà;concreto;umano
parco;concreto;non_animato
parente;concreto;umano
parete;concreto;non_animato
pari;concreto;non_animato
parola;astratto;non_animato
parte;astratto;non_animato
partigiano;concreto;umano
partita;astratto;non_animato
partito;astratto;non_animato
passaggio;astratto;non_animato
passato;astratto;non_animato
passione;astratto;non_animato
passo;astratto;non_animato
pastore;concreto;umano
patria;astratto;non_animato
patto;astratto;non_animato
paura;astratto;non_animato
pazienza;astratto;non_animato
pazzo;astratto;non_animato
peccato;astratto;non_animato
pelle;concreto;non_animato
pelo;concreto;non_animato
pena;astratto;non_animato
pensiero;astratto;non_animato
pensione;astratto;non_animato
perdita;astratto;non_animato
pericolo;astratto;non_animato
periodo;astratto;non_animato
permesso;astratto;non_animato
persona;concreto;umano
personaggio;concreto;umano
pesce;concreto;non_animato
peso;astratto;non_animato
petrolio;concreto;non_animato
petto;concreto;non_animato
pezzo;concreto;non_animato
piacere;astratto;non_animato
piano;concreto;non_animato
pianta;concreto;non_animato
pianura;concreto;non_animato
piatto;concreto;non_animato
piazza;concreto;non_animato
piede;concreto;non_animato
pietà;astratto;non_animato
pietra;concreto;non_animato
pioggia;concreto;non_animato
pittore;concreto;umano
poesia;astratto;non_animato
poeta;concreto;umano
politica;astratto;non_animato
politico;astratto;non_animato
polizia;astratto;non_animato
poliziotto;concreto;umano
poltrona;concreto;non_animato
polvere;concreto;non_animato
pomeriggio;astratto;non_animato
pomodoro;concreto;non_animato
ponte;concreto;non_animato
popolo;concreto;non_animato
porta;concreto;non_animato
porto;concreto;non_animato
posizione;astratto;non_animato
possibile;astratto;non_animato
possibilità;astratto;non_animato
posta;concreto;non_animato
posto;concreto;non_animato
potenza;astratto;non_animato
potere;astratto;non_animato
povero;astratto;non_animato
pozzo;concreto;non_animato
pranzo;astratto;non_animato
pratica;astratto;non_animato
prato;concreto;non_animato
precedente;concreto;non_animato
premio;concreto;non_animato
preoccupazione;astratto;non_animato
presente;astratto;non_animato
presenza;astratto;non_animato
presidente;concreto;umano
pressione;astratto;non_animato
prestito;astratto;non_animato
prete;concreto;umano
prezioso;concreto;non_animato
prezzo;astratto;non_animato
prigione;concreto;non_animato
prigioniero;concreto;umano
primavera;astratto;non_animato
principe;concreto;umano
principessa;concreto;umano
principio;astratto;non_animato
privato;astratto;non_animato
problema;astratto;non_animato
processo;astratto;non_animato
prodotto;concreto;non_animato
produzione;astratto;non_animato
professione;astratto;non_animato
professore;concreto;umano
profumo;concreto;non_animato
progetto;astratto;non_animato
programma;astratto;non_animato
promessa;astratto;non_animato
proposito;astratto;non_animato
proposta;astratto;non_animato
prossimo;astratto;non_animato
prova;astratto;non_animato
provincia;concreto;non_animato
pugno;concreto;non_animato
punta;concreto;non_animato
punto;concreto;non_animato
quadro;concreto;non_animato
qualità;astratto;non_animato
quantità;astratto;non_animato
quartiere;concreto;non_animato
questione;astratto;non_animato
rabbia;astratto;non_animato
radio;concreto;non_animato
ragazza;concreto;non_animato
ragazzo;concreto;non_animato
raggio;concreto;non_animato
ragione;astratto;non_animato
ramo;concreto;non_animato
rancore;astratto;non_animato
rapido;astratto;non_animato
rapporto;astratto;non_animato
rappresentante;astratto;non_animato
razza;astratto;non_animato
re;concreto;umano
realtà;astratto;non_animato
regalo;concreto;non_animato
regina;concreto;umano
regno;astratto;non_animato
regola;astratto;non_animato
relazione;astratto;non_animato
repubblica;astratto;non_animato
resistenza;astratto;non_animato
responsabile;astratto;non_animato
responsabilità;astratto;non_animato
resto;astratto;non_animato
ricco;astratto;non_animato
ricerca;astratto;non_animato
ricordo;astratto;non_animato
riflesso;astratto;non_animato
riguardo;astratto;non_animato
riposo;astratto;non_animato
rischio;astratto;non_animato
riserva;astratto;non_animato
rispetto;astratto;non_animato
risposta;astratto;non_animato
ristorante;concreto;non_animato
risultato;astratto;non_animato
ritardo;astratto;non_animato
ritorno;astratto;non_animato
ritratto;concreto;non_animato
riunione;concreto;non_animato
riva;concreto;non_animato
rivoluzione;astratto;non_animato
roba;concreto;non_animato
romano;concreto;non_animato
rosa;concreto;non_animato
rosso;concreto;non_animato
rumore;astratto;non_animato
ruota;concreto;non_animato
russo;concreto;non_animato
sabbia;concreto;non_animato
sacco;concreto;non_animato
sacrificio;astratto;non_animato
sala;concreto;non_animato
sale;concreto;non_animato
salto;astratto;non_animato
salute;astratto;non_animato
saluto;astratto;non_animato
sangue;concreto;non_animato
santo;concreto;non_animato
sapore;astratto;non_animato
sasso;concreto;non_animato
scala;concreto;non_animato
scambio;astratto;non_animato
scarpa;concreto;non_animato
scatola;concreto;non_animato
scelta;astratto;non_animato
scemo;astratto;non_animato
scena;concreto;non_animato
scherzo;astratto;non_animato
schiena;concreto;non_animato
schifo;astratto;non_animato
scienza;astratto;non_animato
sciocchezza;astratto;non_animato
sconosciuto;astratto;non_animato
scopo;astratto;non_animato
scritta;concreto;non_animato
scuola;concreto;non_animato
scusa;astratto;non_animato
secolo;astratto;non_animato
sede;astratto;non_animato
sedia;concreto;non_animato
sega;concreto;non_animato
segno;concreto;non_animato
segreto;astratto;non_animato
seguito;astratto;non_animato
sensazione;astratto;non_animato
senso;astratto;non_animato
sentimento;astratto;non_animato
sera;astratto;non_animato
serie;astratto;non_animato
servizio;astratto;non_animato
servo;concreto;umano
sete;astratto;non_animato
settimana;astratto;non_animato
sezione;astratto;non_animato
sforzo;astratto;non_animato
sguardo;astratto;non_animato
sicurezza;astratto;non_animato
sigaretta;concreto;non_animato
signora;concreto;non_animato
signore;concreto;umano
silenzio;astratto;non_animato
simpatia;astratto;non_animato
sindaco;concreto;umano
sinistra;astratto;non_animato
sistema;astratto;non_animato
situazione;astratto;non_animato
socialista;concreto;umano
società;astratto;non_animato
soddisfazione;astratto;non_animato
sofferenza;astratto;non_animato
soggetto;concreto;non_animato
sogno;astratto;non_animato
soldato;concreto;umano
soldo;concreto;non_animato
sole;concreto;non_animato
solido;concreto;non_animato
solitudine;astratto;non_animato
soluzione;astratto;non_animato
somma;astratto;non_animato
sonno;astratto;non_animato
sorella;concreto;umano
sorpresa;astratto;non_animato
sorriso;concreto;non_animato
sorte;astratto;non_animato
sospetto;astratto;non_animato
sostanza;astratto;non_animato
spada;concreto;non_animato
spalla;concreto;non_animato
spazio;astratto;non_animato
specchio;concreto;non_animato
specie;astratto;non_animato
speranza;astratto;non_animato
spesa;astratto;non_animato
spettacolo;astratto;non_animato
spia;concreto;umano
spiaggia;concreto;non_animato
spiegazione;astratto;non_animato
spirito;astratto;non_animato
sporco;astratto;non_animato
sport;astratto;non_animato
sportivo;astratto;non_animato
sposa;concreto;umano
squadra;astratto;non_animato
stagione;astratto;non_animato
stalla;concreto;non_animato
stampa;astratto;non_animato
stanza;concreto;non_animato
stato;astratto;non_animato
statua;concreto;non_animato
stazione;concreto;non_animato
stella;concreto;non_animato
stoffa;concreto;non_animato
stomaco;concreto;non_animato
storia;astratto;non_animato
storico;concreto;umano
strada;concreto;non_animato
straniero;concreto;non_animato
straordinario;concreto;non_animato
studente;concreto;umano
studio;astratto;non_animato
stupido;astratto;non_animato
successo;astratto;non_animato
sud;astratto;non_animato
sufficiente;astratto;non_animato
suono;concreto;non_animato
superficie;astratto;non_animato
superiore;astratto;non_animato
sviluppo;astratto;non_animato
svizzero;astratto;non_animato
tabacco;concreto;non_animato
tasca;concreto;non_animato
tassa;astratto;non_animato
tavola;concreto;non_animato
tavolo;concreto;non_animato
teatro;concreto;non_animato
tecnico;concreto;non_animato
tedesco;concreto;non_animato
telefono;concreto;non_animato
temperatura;astratto;non_animato
tempo;astratto;non_animato
tenente;concreto;umano
tenerezza;astratto;non_animato
tentativo;astratto;non_animato
termine;astratto;non_animato
terra;concreto;non_animato
terreno;concreto;non_animato
tesoro;concreto;non_animato
testa;concreto;non_animato
tetto;concreto;non_animato
timore;astratto;non_animato
tipo;astratto;non_animato
titolo;astratto;non_animato
tomba;concreto;non_animato
tono;astratto;non_animato
torre;concreto;non_animato
torto;astratto;non_animato
tramonto;concreto;non_animato
tratto;astratto;non_animato
treno;concreto;non_animato
tronco;concreto;non_animato
trucco;concreto;non_animato
truppa;concreto;non_animato
uccello;concreto;animato
ufficiale;concreto;umano
ufficio;concreto;non_animato
uguale;concreto;non_animato
umanità;astratto;non_animato
umano;astratto;non_animato
unghia;concreto;non_animato
università;concreto;non_animato
uomo;concreto;umano
uovo;concreto;non_animato
uso;astratto;non_animato
vacanza;astratto;non_animato
valigia;concreto;non_animato
valle;concreto;non_animato
valore;astratto;non_animato
vantaggio;astratto;non_animato
vaso;concreto;non_animato
vecchio;concreto;non_animato
vendetta;astratto;non_animato
vento;concreto;non_animato
verde;concreto;non_animato
vergogna;astratto;non_animato
verità;astratto;non_animato
vero;astratto;non_animato
vestito;concreto;non_animato
vetro;concreto;non_animato
via;concreto;non_animato
viaggio;astratto;non_animato
vicenda;astratto;non_animato
vicino;astratto;non_animato
vigliacco;astratto;non_animato
villa;concreto;non_animato
vino;concreto;non_animato
violenza;astratto;non_animato
visita;astratto;non_animato
viso;concreto;non_animato
vista;astratto;non_animato
vita;astratto;non_animato
vittima;astratto;non_animato
vittoria;astratto;non_animato
voce;astratto;non_animato
voglia;astratto;non_animato
volo;astratto;non_animato
volontà;astratto;non_animato
volta;astratto;non_animato
volto;concreto;non_animato
voto;astratto;non_animato
vuoto;astratto;non_animato
zia;astratto;non_animato
zio;concreto;umano
