nome;concretezza;animatezza;verbi_sintetici;verbi_analitici;vsin_num;vsupp_num;vsin_bin;vsupp_bin
fede;astratto;non_animato;;avere (la) fede, dare la fede, fare fede;0;3;no;yes
felicitŕ;astratto;non_animato;;avere la felicitŕ, dare la felicitŕ;0;2;no;yes
fenomeno;astratto;non_animato;;fare il fenomeno;0;1;no;yes
ferita;concreto;non_animato;;;0;0;no;no
fermo;concreto;non_animato;;;0;0;no;no
ferro;concreto;non_animato;ferrare, afferrare, sferrare, sferrare;;4;0;yes;no
festa;concreto;non_animato;festeggiare;essere in festa, fare (una/la) festa;1;2;yes;yes
fianco;concreto;non_animato;fiancare, affiancare, sfiancare, fiancheggiare;avere a fianco;4;1;yes;yes
fiato;concreto;non_animato;fiatare, affiatare, sfiatare;dare fiato, prendere fiato;3;2;yes;yes
fidanzato;concreto;umano;;;0;0;no;no
fiducia;astratto;non_animato;;avere (la) fiducia, dare (la) fiducia, mettere la fiducia;0;3;no;yes
figlia;astratto;non_animato;;dare una figlia, essere figlia;0;2;no;yes
figlio;concreto;umano;figliare;essere figlio, fare un figlio;1;2;yes;yes
figliola;concreto;non_animato;;;0;0;no;no
figliolo;concreto;umano;;;0;0;no;no
figura;concreto;non_animato;figurare, sfigurare;;2;0;yes;no
fila;concreto;non_animato;sfilare;;1;0;yes;no
film;concreto;non_animato;filmare;fare film;1;1;yes;yes
filo;concreto;non_animato;filare, affilare, infilare, sfilare;fare il filo;4;1;yes;yes
fine;astratto;non_animato;finire;avere fine, avere il fine, fare la fine, mettere fine;1;4;yes;yes
finestra;concreto;non_animato;;;0;0;no;no
fiore;concreto;non_animato;fiorire, affiorare, affiorare, affiorare, infiorare, sfiorire, sfiorire, sfiorire;essere in fiore;8;1;yes;yes
firma;astratto;non_animato;;mettere una/la firma;0;1;no;yes
fisico;concreto;non_animato;;essere fisico;0;1;no;yes
fiume;concreto;non_animato;;;0;0;no;no
foglia;concreto;non_animato;fogliare, sfogliare;;2;0;yes;no
foglio;concreto;non_animato;sfogliare, sfogliare;;2;0;yes;no
folla;concreto;umano;affollare;;1;0;yes;no
fondo;concreto;non_animato;fondare, affondare, sfondare, sfondare;andare a fondo, andare in fondo, dare fondo, mandare a fondo;4;4;yes;yes
foresta;concreto;non_animato;;;0;0;no;no
forma;astratto;non_animato;formare, informare, informare, sformare;avere forma, avere la forma, dare forma, dare una/la forma, essere in forma, mettere in forma, prendere forma, prendere una/la forma;4;8;yes;yes
formula;astratto;non_animato;formulare;;1;0;yes;no
forte;astratto;non_animato;;;0;0;no;no
fortuna;astratto;non_animato;infortunare;avere (la) fortuna, fare fortuna;1;2;yes;yes
forza;astratto;non_animato;forzare, sforzare, sforzare, sforzare;avere forza, dare (la/una) forza, essere in forza, fare forza;4;4;yes;yes
fotografia;concreto;non_animato;fotografare;fare fotografia, fare una/la fotografia;1;2;yes;yes
francese;concreto;non_animato;;fare il francese;0;1;no;yes
frase;astratto;non_animato;fraseggiare;;1;0;yes;no
frate;concreto;umano;;;0;0;no;no
fratello;concreto;umano;affratellare;essere fratello;1;1;yes;yes
fretta;astratto;non_animato;affrettare;andare di fretta, avere fretta, essere di fretta, fare di fretta;1;4;yes;yes
fronte;check;non_animato;affrontare;fare fronte;1;1;yes;yes
frutta;concreto;non_animato;fruttare, sfruttare, sfruttare;;3;0;yes;no
frutto;concreto;non_animato;fruttificare;dare il frutto, essere frutto, mettere a frutto;1;3;yes;yes
fuga;astratto;non_animato;fugare;andare in fuga, essere in fuga, mettere in fuga;1;3;yes;yes
fumo;concreto;non_animato;fumare, sfumare;andare in fumo, fare fumo, mandare in fumo;2;3;yes;yes
funerale;astratto;non_animato;;fare il funerale;0;1;no;yes
funzione;astratto;non_animato;funzionare;avere la funzione, essere in funzione, mettere in funzione;1;3;yes;yes
fuoco;concreto;non_animato;infuocare, sfocare, sfocare;andare a fuoco, dare a fuoco, dare fuoco, essere a fuoco, fare fuoco, mandare a fuoco, mettere a fuoco, prendere fuoco;3;8;yes;yes
futuro;astratto;non_animato;;;0;0;no;no
gamba;concreto;non_animato;sgambare, sgambare, gambizzare;essere in gamba, prendere sotto gamba;3;2;yes;yes
gara;astratto;non_animato;gareggiare;essere in gara, fare a gara, fare una gara, mettere in gara;1;4;yes;yes
gas;concreto;non_animato;;dare gas;0;1;no;yes
gatto;concreto;animato;;fare il gatto;0;1;no;yes
generale;concreto;non_animato;;fare il generale;0;1;no;yes
generazione;astratto;non_animato;;;0;0;no;no
genere;astratto;non_animato;generare, ingenerare;;2;0;yes;no
genitore;concreto;umano;;essere genitore, fare da genitore, fare il genitore;0;3;no;yes
gente;concreto;umano;;;0;0;no;no
gesto;astratto;non_animato;gestire;fare il gesto;1;1;yes;yes
ghiaccio;concreto;non_animato;ghiacciare, agghiacciare;;2;0;yes;no
giacca;concreto;non_animato;;;0;0;no;no
giallo;concreto;non_animato;;;0;0;no;no
giardino;concreto;non_animato;;;0;0;no;no
ginocchio;concreto;non_animato;inginocchiare;essere in ginocchio, mettere in ginocchio;1;2;yes;yes
gioco;astratto;non_animato;giocare;fare il gioco, mettere in gioco;1;2;yes;yes
gioia;astratto;non_animato;gioire;avere la gioia, dare (la/una) gioia;1;2;yes;yes
giornale;concreto;non_animato;;;0;0;no;no
giornata;astratto;non_animato;;;0;0;no;no
giorno;astratto;non_animato;aggiornare, aggiornare;;2;0;yes;no
giovane;astratto;non_animato;;fare il giovane;0;1;no;yes
giovanotto;concreto;umano;;;0;0;no;no
giro;astratto;non_animato;girare;andare a giro, andare in giro, fare il giro, fare un giro, mettere in giro, prendere in giro;1;6;yes;yes
giudizio;astratto;non_animato;;andare in giudizio, dare il giudizio, dare un giudizio;0;3;no;yes
giunta;astratto;non_animato;;;0;0;no;no
giustizia;astratto;non_animato;giustiziare;dare giustizia, fare giustizia;1;2;yes;yes
giusto;astratto;non_animato;;;0;0;no;no
gloria;astratto;non_animato;gloriare, glorificare;avere in gloria, dare gloria;2;2;yes;yes
goccia;concreto;non_animato;gocciare;;1;0;yes;no
gola;concreto;non_animato;golare, golare, sgolare;fare gola;3;1;yes;yes
gomma;concreto;non_animato;gommare, sgommare, sgommare, sgommare;;4;0;yes;no
governo;astratto;non_animato;;;0;0;no;no
grado;astratto;non_animato;graduare, gradire, aggradare;mettere in grado;3;1;yes;yes
grano;concreto;non_animato;granire, granire, ingranare, ingranare, sgranare, sgranare;;6;0;yes;no
grazia;astratto;non_animato;graziare, aggraziare, ingraziare;avere la grazia, dare la grazia, fare la grazia;3;3;yes;yes
greco;astratto;non_animato;;;0;0;no;no
grigio;astratto;non_animato;;;0;0;no;no
gruppo;concreto;non_animato;aggruppare;fare gruppo;1;1;yes;yes
guaio;astratto;non_animato;guaire, inguaiare;mettere in guaio;2;1;yes;yes
guardia;astratto;non_animato;;essere a guardia, essere di guardia, fare da guardia, fare la guardia, mettere a guardia, mettere di guardia, mettere in guardia;0;7;no;yes
guerra;concreto;non_animato;agguerrire, guerreggiare;andare in guerra, fare (la) guerra, fare una guerra, mandare in guerra;2;4;yes;yes
guida;astratto;non_animato;;avere la guida, fare da guida;0;2;no;yes
gusto;astratto;non_animato;;avere il gusto, dare il gusto;0;2;no;yes
idea;astratto;non_animato;ideare;avere idea, avere la idea, avere una idea;1;3;yes;yes
ieri;astratto;non_animato;;;0;0;no;no
illusione;astratto;non_animato;;;0;0;no;no
immagine;astratto;non_animato;immaginare;;1;0;yes;no
impegno;astratto;non_animato;;avere un impegno, prendere un impegno;0;2;no;yes
importanza;astratto;non_animato;;avere importanza, dare importanza, essere di importanza;0;3;no;yes
impresa;astratto;non_animato;;fare impresa;0;1;no;yes
impressione;astratto;non_animato;impressionare;dare una impressione, fare impressione;1;2;yes;yes
incerto;astratto;non_animato;;;0;0;no;no
incidente;astratto;non_animato;;avere un incidente, fare un incidente;0;2;no;yes
incontro;astratto;non_animato;;avere un incontro;0;1;no;yes
indipendenza;astratto;non_animato;;;0;0;no;no
indirizzo;concreto;non_animato;;;0;0;no;no
industria;concreto;non_animato;;;0;0;no;no
industriale;concreto;non_animato;;;0;0;no;no
infanzia;astratto;non_animato;;;0;0;no;no
inferno;concreto;non_animato;;;0;0;no;no
infinito;concreto;non_animato;;;0;0;no;no
informazione;astratto;non_animato;;dare (la) informazione, fare informazione;0;2;no;yes
ingegnere;concreto;umano;;;0;0;no;no
inglese;concreto;non_animato;;fare il inglese;0;1;no;yes
ingresso;astratto;non_animato;;fare da ingresso, fare ingresso, prendere in ingresso;0;3;no;yes
inizio;astratto;non_animato;iniziare;avere inizio, dare inizio;1;2;yes;yes
innocente;astratto;non_animato;;;0;0;no;no
intelligenza;astratto;non_animato;;;0;0;no;no
intenzione;astratto;non_animato;;avere intenzione;0;1;no;yes
interesse;astratto;non_animato;interessare;avere (un) interesse, essere di interesse;1;2;yes;yes
interno;astratto;non_animato;;;0;0;no;no
intero;astratto;non_animato;;;0;0;no;no
inverno;astratto;non_animato;;;0;0;no;no
invito;astratto;non_animato;;fare un invito;0;1;no;yes
isola;concreto;non_animato;isolare;;1;0;yes;no
istante;astratto;non_animato;;;0;0;no;no
italiano;astratto;non_animato;;fare il italiano;0;1;no;yes
labbro;concreto;non_animato;slabbrare;;1;0;yes;no
laboratorio;concreto;non_animato;;;0;0;no;no
lacrima;concreto;non_animato;lacrimare;andare in lacrima;1;1;yes;yes
ladro;concreto;umano;;fare il ladro;0;1;no;yes
lago;concreto;non_animato;allagare;;1;0;yes;no
largo;concreto;non_animato;;fare largo;0;1;no;yes
latino;concreto;non_animato;;mettere in latino;0;1;no;yes
lato;concreto;non_animato;;;0;0;no;no
latte;concreto;non_animato;allattare;;1;0;yes;no
lavoro;astratto;non_animato;lavorare;dare lavoro, fare (il) lavoro, mettere a lavoro;1;3;yes;yes
legge;astratto;non_animato;;fare una legge;0;1;no;yes
legno;concreto;non_animato;legnare;;1;0;yes;no
lettera;astratto;non_animato;;;0;0;no;no
letto;concreto;non_animato;allettare;mettere a letto;1;1;yes;yes
lezione;astratto;non_animato;;andare a lezione, dare (una) lezione, fare (una) lezione;0;3;no;yes
libertŕ;astratto;non_animato;;avere (la) libertŕ, dare (la) libertŕ, mettere in libertŕ;0;3;no;yes
libro;concreto;non_animato;;;0;0;no;no
limite;astratto;non_animato;limitare;avere il limite, avere un limite, dare il limite, dare un limite, mettere un/il limite;1;5;yes;yes
linea;concreto;non_animato;lineare, allineare;mettere in linea;2;1;yes;yes
lingua;concreto;non_animato;;;0;0;no;no
lira;concreto;non_animato;;;0;0;no;no
lista;concreto;non_animato;listare;mettere in lista;1;1;yes;yes
localitŕ;astratto;non_animato;;;0;0;no;no
lotta;astratto;non_animato;;essere in lotta, fare una/la lotta;0;2;no;yes
luce;concreto;non_animato;;dare (la) luce, fare luce, mettere in luce, venire in luce;0;4;no;yes
luna;concreto;non_animato;lunare, allunare, allunare;;3;0;yes;no
luogo;concreto;non_animato;locare;avere luogo, dare luogo;1;2;yes;yes
lupo;concreto;animato;;;0;0;no;no
lusso;astratto;non_animato;;;0;0;no;no
macchia;concreto;non_animato;macchiare, smacchiare, smacchiare;;3;0;yes;no
macchina;concreto;non_animato;macchinare;;1;0;yes;no
madre;concreto;umano;;essere madre, fare da madre;0;2;no;yes
maestro;check;umano;ammaestrare;essere maestro, fare da maestro, fare il maestro;1;3;yes;yes
maggiore;astratto;non_animato;;;0;0;no;no
maglia;concreto;non_animato;smagliare, smagliare;;2;0;yes;no
malato;concreto;non_animato;;;0;0;no;no
malattia;astratto;non_animato;;avere la malattia;0;1;no;yes
male;astratto;non_animato;ammalare;andare a male, avere a male, avere (un) male, fare (un) male;1;4;yes;yes
mamma;concreto;umano;smammare, smammare;essere mamma, fare da mamma;2;2;yes;yes
mancanza;astratto;non_animato;;;0;0;no;no
maniera;astratto;non_animato;;;0;0;no;no
mano;concreto;non_animato;maneggiare;avere in mano, dare una mano, mettere in mano, mettere mano, prendere in mano;1;5;yes;yes
marcia;astratto;non_animato;;essere in marcia, fare una marcia, mettere in marcia;0;3;no;yes
mare;concreto;non_animato;ammarare, mareggiare;mettere a mare;2;1;yes;yes
maresciallo;concreto;umano;;;0;0;no;no
marito;concreto;umano;maritare;essere marito, prendere marito;1;2;yes;yes
marmo;concreto;non_animato;;;0;0;no;no
maschio;concreto;umano;maschiare;;1;0;yes;no
massa;concreto;non_animato;ammassare, massificare;avere massa, fare massa;2;2;yes;yes
massimo;concreto;non_animato;;;0;0;no;no
materia;concreto;non_animato;;;0;0;no;no
materiale;concreto;non_animato;;;0;0;no;no
matrimonio;astratto;non_animato;;;0;0;no;no
mattina;astratto;non_animato;;;0;0;no;no
mattino;astratto;non_animato;;;0;0;no;no
matto;astratto;non_animato;;dare di matto, dare il matto, prendere per matto;0;3;no;yes
medicina;astratto;non_animato;;;0;0;no;no
medico;concreto;umano;medicare;essere medico, fare il medico;1;2;yes;yes
mela;concreto;non_animato;;;0;0;no;no
membro;astratto;non_animato;smembrare;essere membro;1;1;yes;yes
memoria;astratto;non_animato;memorizzare;avere memoria;1;1;yes;yes
mente;astratto;non_animato;;avere a mente, avere in mente, mettere in mente, venire in mente;0;4;no;yes
meraviglia;astratto;non_animato;meravigliare;;1;0;yes;no
mercato;concreto;non_animato;;avere mercato;0;1;no;yes
merito;astratto;non_animato;;avere il/un merito, dare (il) merito;0;2;no;yes
mese;astratto;non_animato;;;0;0;no;no
messa;astratto;non_animato;;;0;0;no;no
mestiere;astratto;non_animato;;fare il mestiere;0;1;no;yes
metŕ;astratto;non_animato;;;0;0;no;no
metro;astratto;non_animato;;;0;0;no;no
mezzo;astratto;non_animato;;;0;0;no;no
mezzogiorno;astratto;non_animato;;;0;0;no;no
migliaio;astratto;non_animato;;;0;0;no;no
milanese;astratto;non_animato;;;0;0;no;no
miliardo;astratto;non_animato;;;0;0;no;no
milione;astratto;non_animato;;;0;0;no;no
militare;astratto;non_animato;;essere militare, fare il militare;0;2;no;yes
mille;astratto;non_animato;;;0;0;no;no
minerale;astratto;non_animato;;;0;0;no;no
minimo;astratto;non_animato;;;0;0;no;no
ministro;concreto;umano;ministrare, amministrare;essere ministro, fare il ministro;2;2;yes;yes
minore;concreto;non_animato;;;0;0;no;no
minuto;concreto;non_animato;;;0;0;no;no
miracolo;astratto;non_animato;;fare il miracolo;0;1;no;yes
miseria;astratto;non_animato;;essere in miseria;0;1;no;yes
mistero;astratto;non_animato;;;0;0;no;no
misura;astratto;non_animato;misurare;;1;0;yes;no
mobile;concreto;non_animato;;;0;0;no;no
modello;astratto;non_animato;modellare;avere a modello, essere modello, fare da modello, prendere a modello;1;4;yes;yes
moderno;astratto;non_animato;;;0;0;no;no
modo;astratto;non_animato;modificare;dare (il) modo, fare in modo;1;2;yes;yes
moglie;concreto;umano;ammogliare;andare in moglie, avere in moglie, dare in moglie, essere moglie, fare la moglie, prendere in moglie, prendere moglie, prendere per moglie;1;8;yes;yes
momento;astratto;non_animato;;;0;0;no;no
mondo;concreto;non_animato;;;0;0;no;no
montagna;concreto;non_animato;;;0;0;no;no
monte;concreto;non_animato;montare, ammontare, smontare;andare a monte, mandare a monte;3;2;yes;yes
monumento;concreto;non_animato;;;0;0;no;no
mortale;concreto;non_animato;;;0;0;no;no
morte;astratto;non_animato;mortificare;dare la morte, dare una morte, mandare a morte, mettere a morte, venire a morte;1;5;yes;yes
mostro;concreto;animato;;fare il mostro;0;1;no;yes
motivo;astratto;non_animato;motivare;essere motivo;1;1;yes;yes
moto;concreto;non_animato;;andare in moto, fare moto, mettere in moto;0;3;no;yes
motocicletta;concreto;non_animato;;andare in motocicletta;0;1;no;yes
motore;concreto;non_animato;motorizzare;;1;0;yes;no
movimento;astratto;non_animato;movimentare;dare movimento, essere in movimento, fare (il) movimento, mettere in movimento;1;4;yes;yes
mucchio;concreto;non_animato;ammucchiare;;1;0;yes;no
muro;concreto;non_animato;murare;;1;0;yes;no
museo;concreto;non_animato;;;0;0;no;no
musica;concreto;non_animato;musicare;fare (la) musica, mettere in musica;1;2;yes;yes
nascita;astratto;non_animato;;dare la nascita;0;1;no;yes
naso;concreto;non_animato;;mettere il naso;0;1;no;yes
natale;astratto;non_animato;;;0;0;no;no
natura;astratto;non_animato;snaturare;avere natura;1;1;yes;yes
nave;concreto;non_animato;;;0;0;no;no
nazione;astratto;non_animato;;;0;0;no;no
nebbia;concreto;non_animato;annebbiare, snebbiare;;2;0;yes;no
necessario;concreto;non_animato;;;0;0;no;no
necessitŕ;astratto;non_animato;;avere (la/una) necessitŕ;0;1;no;yes
negozio;concreto;non_animato;negoziare;;1;0;yes;no
nemico;concreto;non_animato;;essere nemico;0;1;no;yes
nero;concreto;non_animato;;;0;0;no;no
nervo;concreto;non_animato;innervare, snervare;;2;0;yes;no
neve;concreto;non_animato;;;0;0;no;no
nipote;concreto;umano;;essere nipote;0;1;no;yes
nobile;concreto;non_animato;;;0;0;no;no
noia;astratto;non_animato;annoiare;avere a noia, dare noia, venire a noia;1;3;yes;yes
nome;astratto;non_animato;nomare, nominare;avere (il) nome, dare (il/un) nome, fare il nome, mettere il nome, prendere a nome, prendere (il) nome;2;6;yes;yes
nonna;concreto;umano;;;0;0;no;no
nord;astratto;non_animato;;;0;0;no;no
notizia;astratto;non_animato;;avere notizia, dare (una/la) notizia, fare notizia;0;3;no;yes
notte;astratto;non_animato;annottare;;1;0;yes;no
novitŕ;astratto;non_animato;;;0;0;no;no
nudo;astratto;non_animato;;mettere a nudo;0;1;no;yes
numero;astratto;non_animato;numerare;avere il numero, dare il numero, fare numero;1;3;yes;yes
nuovo;astratto;non_animato;;mettere a nuovo;0;1;no;yes
nuvola;concreto;non_animato;annuvolare;;1;0;yes;no
obbligo;astratto;non_animato;;essere di obbligo, essere in obbligo;0;2;no;yes
occasione;astratto;non_animato;occasionare;essere occasione;1;1;yes;yes
occhiata;astratto;non_animato;;dare una occhiata;0;1;no;yes
occhio;concreto;non_animato;oculare, adocchiare, inoculare, occhieggiare;avere il occhio, dare un occhio, mettere il occhio;4;3;yes;yes
occidentale;concreto;non_animato;;;0;0;no;no
occupazione;astratto;non_animato;;essere sotto occupazione;0;1;no;yes
odio;astratto;non_animato;odiare;avere in odio, avere un odio, prendere in odio;1;3;yes;yes
odore;astratto;non_animato;odorare;avere un odore;1;1;yes;yes
oggetto;concreto;non_animato;;avere ad oggetto, essere oggetto;0;2;no;yes
oggi;astratto;non_animato;;;0;0;no;no
olio;concreto;non_animato;oliare;;1;0;yes;no
oliva;concreto;non_animato;;;0;0;no;no
ombra;concreto;non_animato;ombrare, adombrare, ombreggiare;fare ombra, mettere in ombra;3;2;yes;yes
onda;concreto;non_animato;inondare, ondeggiare;andare in onda, essere in onda, mandare in onda, mettere in onda;2;4;yes;yes
onore;astratto;non_animato;onorare;avere il onore, dare onore, fare il onore, fare onore;1;4;yes;yes
opera;astratto;non_animato;operare, adoperare;essere in opera, essere opera, mettere in opera;2;3;yes;yes
operaio;concreto;umano;;;0;0;no;no
operazione;astratto;non_animato;;fare una operazione;0;1;no;yes
opinione;astratto;non_animato;;avere una opinione, essere di opinione;0;2;no;yes
ora;astratto;non_animato;;;0;0;no;no
ordine;astratto;non_animato;ordinare;dare (un/il) ordine, essere in ordine, fare (un) ordine, mettere in ordine, mettere ordine;1;5;yes;yes
orecchio;concreto;non_animato;orecchiare;;1;0;yes;no
oro;concreto;non_animato;orare;;1;0;yes;no
orologio;concreto;non_animato;;;0;0;no;no
orrore;astratto;non_animato;;avere in orrore;0;1;no;yes
orto;concreto;non_animato;;;0;0;no;no
ospedale;concreto;non_animato;ospedalizzare;;1;0;yes;no
ospite;concreto;umano;ospitare;andare ospite, avere ospite, essere ospite;1;3;yes;yes
osso;concreto;non_animato;ossificare;;1;0;yes;no
pacco;concreto;non_animato;impaccare;;1;0;yes;no
pace;astratto;non_animato;pacificare;avere (la) pace, dare (la) pace, essere in pace, fare pace, mettere pace;1;5;yes;yes
padre;concreto;umano;;essere padre, fare da padre;0;2;no;yes
padrone;concreto;umano;impadronire;essere padrone, fare da padrone;1;2;yes;yes
paese;concreto;non_animato;;;0;0;no;no
pagina;concreto;non_animato;impaginare;;1;0;yes;no
paio;astratto;non_animato;appaiare, spaiare;;2;0;yes;no
palazzo;concreto;non_animato;;;0;0;no;no
palla;concreto;non_animato;pallare, impallare, palleggiare;andare in palla;3;1;yes;yes
pane;concreto;non_animato;impanare, panificare;;2;0;yes;no
papa;concreto;umano;;;0;0;no;no
papŕ;concreto;umano;;fare da papŕ;0;1;no;yes
parco;concreto;non_animato;parcare;;1;0;yes;no
parente;concreto;umano;apparentare, imparentare;essere parente;2;1;yes;yes
parete;concreto;non_animato;;;0;0;no;no
pari;concreto;non_animato;;;0;0;no;no
parola;astratto;non_animato;;dare la parola, fare parola, mettere una parola, prendere in parola, prendere (la) parola;0;5;no;yes
parte;astratto;non_animato;impartire, spartire, spartire, partire, appartare, parteggiare;avere da parte, avere parte, essere parte, fare parte, prendere una/la parte, prendere parte;6;6;yes;yes
partigiano;concreto;umano;;;0;0;no;no
partita;astratto;non_animato;;fare una partita;0;1;no;yes
partito;astratto;non_animato;;prendere partito;0;1;no;yes
passaggio;astratto;non_animato;;dare un/il passaggio, essere di passaggio, fare il passaggio;0;3;no;yes
passato;astratto;non_animato;;;0;0;no;no
passione;astratto;non_animato;appassionare;avere una/la passione;1;1;yes;yes
passo;astratto;non_animato;passare, passeggiare;fare il passo;2;1;yes;yes
pastore;concreto;umano;;essere pastore, fare il pastore;0;2;no;yes
patria;astratto;non_animato;;;0;0;no;no
patto;astratto;non_animato;patteggiare;fare un/il patto;1;1;yes;yes
paura;astratto;non_animato;impaurire, spaurire, spaurire;avere (la) paura, avere una paura, fare paura, mettere paura;3;4;yes;yes
pazienza;astratto;non_animato;;avere (la) pazienza;0;1;no;yes
pazzo;astratto;non_animato;;fare il pazzo;0;1;no;yes
peccato;astratto;non_animato;;;0;0;no;no
pelle;concreto;non_animato;spellare;;1;0;yes;no
pelo;concreto;non_animato;spelare, pelare, spelare, spelare;fare il pelo;4;1;yes;yes
pena;astratto;non_animato;penare;avere la pena, dare la pena, essere in pena;1;3;yes;yes
pensiero;astratto;non_animato;impensierire;avere il/un pensiero, essere in pensiero, fare un pensiero;1;3;yes;yes
pensione;astratto;non_animato;pensionare;andare in pensione, essere in pensione, mandare in pensione, mettere in pensione;1;4;yes;yes
perdita;astratto;non_animato;;andare in perdita, avere la perdita, avere una perdita, essere in perdita;0;4;no;yes
pericolo;astratto;non_animato;pericolare, spericolare;mettere in pericolo;2;1;yes;yes
periodo;astratto;non_animato;periodare, periodizzare;;2;0;yes;no
permesso;astratto;non_animato;;avere il permesso, dare il/un permesso;0;2;no;yes
persona;concreto;umano;impersonare, personificare;;2;0;yes;no
personaggio;concreto;umano;;;0;0;no;no
pesce;concreto;non_animato;pescare;;1;0;yes;no
peso;astratto;non_animato;pesare, spesare;avere il peso, avere peso, dare (il/un) peso;2;3;yes;yes
petrolio;concreto;non_animato;;;0;0;no;no
petto;concreto;non_animato;;;0;0;no;no
pezzo;concreto;non_animato;appezzare, spezzare;andare a pezzo, andare in pezzo, essere a pezzo, essere in pezzo, fare a pezzo, mandare in pezzo;2;6;yes;yes
piacere;astratto;non_animato;;avere il piacere, dare il piacere, dare piacere, fare il piacere, fare piacere;0;5;no;yes
piano;concreto;non_animato;pianificare;fare il piano;1;1;yes;yes
pianta;concreto;non_animato;piantare, impiantire, spiantare, impiantare;;4;0;yes;no
