nome;frequenza_nome;concretezza;animatezza;verbi_sintetici;verbi_analitici;vsin_num;vsupp_num;vsin_bin;vsupp_bin
abito;3958;concreto;non_animato;;;0;0;no;no
abitudine;3043;astratto;non_animato;;essere di abitudine;0;1;no;yes
accordo;25727;astratto;non_animato;;andare di accordo, essere di accordo, essere in accordo, fare un(/il) accordo, mettere di accordo, mettere in accordo;0;6;no;yes
acqua;54517;concreto;non_animato;sciacquare;fare acqua, mettere in acqua;1;2;yes;yes
addio;3584;astratto;non_animato;;dare un addio;0;1;no;yes
aeroplano;885;concreto;non_animato;;;0;0;no;no
affare;2274;astratto;non_animato;;essere in affare, fare il affare, mettere in affare;0;3;no;yes
affetto;4500;astratto;non_animato;;;0;0;no;no
agente;9827;concreto;umano;;fare da agente;0;1;no;yes
agosto;53505;astratto;non_animato;;;0;0;no;no
agricoltura;10996;astratto;non_animato;;fare agricoltura;0;1;no;yes
aiuto;24297;astratto;non_animato;;andare in aiuto, dare (un) aiuto, essere di aiuto, essere di aiuto, venire in aiuto;0;5;no;yes
ala;10713;concreto;non_animato;aleggiare;;1;0;yes;no
alba;7022;concreto;non_animato;albeggiare;;1;0;yes;no
albergo;4401;concreto;non_animato;albergare;;1;0;yes;no
albero;10484;concreto;non_animato;alberare, inalberare;;2;0;yes;no
alleato;4516;concreto;umano;;;0;0;no;no
allevamento;4680;astratto;non_animato;;;0;0;no;no
alpino;3723;astratto;non_animato;;;0;0;no;no
altezza;18330;astratto;non_animato;;;0;0;no;no
amante;6393;concreto;umano;;;0;0;no;no
ambiente;27698;concreto;non_animato;ambientare;;1;0;yes;no
americano;18697;concreto;non_animato;;fare il americano;0;1;no;yes
amica;8701;concreto;non_animato;;;0;0;no;no
amicizia;10311;astratto;non_animato;;essere in amicizia, fare amicizia;0;2;no;yes
amico;29738;astratto;non_animato;;fare da amico, fare il amico;0;2;no;yes
amministrazione;24856;astratto;non_animato;;essere sotto amministrazione;0;1;no;yes
amore;44328;astratto;non_animato;amoreggiare, innamorare;dare amore, essere in amore;2;2;yes;yes
anello;9144;concreto;non_animato;inanellare;fare da anello;1;1;yes;yes
angelo;14709;concreto;umano;;fare da angelo;0;1;no;yes
angolo;12626;concreto;non_animato;angolare;;1;0;yes;no
anima;12186;astratto;non_animato;animare;dare anima;1;1;yes;yes
animale;12353;concreto;animato;;;0;0;no;no
animo;4207;astratto;non_animato;;avere in animo;0;1;no;yes
anno;175153;astratto;non_animato;;;0;0;no;no
ansia;2192;astratto;non_animato;;essere in ansia, mettere in ansia;0;2;no;yes
apparecchio;2343;concreto;non_animato;;;0;0;no;no
appartamento;4928;concreto;non_animato;;;0;0;no;no
appetito;524;astratto;non_animato;;;0;0;no;no
appuntamento;6982;astratto;non_animato;;dare (un) appuntamento, prendere (un) appuntamento;0;2;no;yes
aprile;49324;astratto;non_animato;;;0;0;no;no
arabo;6072;astratto;non_animato;;;0;0;no;no
arancia;744;concreto;non_animato;;;0;0;no;no
architetto;10704;concreto;umano;architettare;;1;0;yes;no
arco;16559;concreto;non_animato;inarcare;;1;0;yes;no
argomento;10181;astratto;non_animato;argomentare;avere il argomento;1;1;yes;yes
aria;25070;concreto;non_animato;arieggiare;dare aria, prendere aria;1;2;yes;yes
arma;15505;concreto;non_animato;armare, armeggiare;mettere in arma;2;1;yes;yes
arte;48120;astratto;non_animato;;fare arte;0;1;no;yes
articolo;22396;astratto;non_animato;articolare;;1;0;yes;no
artista;18063;concreto;umano;;essere artista, fare il artista;0;2;no;yes
aspetto;27776;astratto;non_animato;;dare un aspetto;0;1;no;yes
assassino;3959;concreto;umano;assassinare;;1;0;yes;no
atmosfera;9162;astratto;non_animato;;;0;0;no;no
atteggiamento;7389;astratto;non_animato;;avere un atteggiamento, essere in atteggiamento;0;2;no;yes
attenzione;24858;astratto;non_animato;attenzionare;avere attenzione, dare attenzione, fare attenzione;1;3;yes;yes
attesa;12890;astratto;non_animato;;essere in attesa, mettere in attesa;0;2;no;yes
attimo;3128;astratto;non_animato;;;0;0;no;no
attività;79178;astratto;non_animato;;essere in attività, fare attività, mettere in attività;0;3;no;yes
atto;27135;astratto;non_animato;atteggiare;avere in atto, dare atto, mettere in atto, prendere atto;1;4;yes;yes
attore;19131;concreto;umano;;essere attore, fare il attore;0;2;no;yes
automobile;4444;concreto;non_animato;;;0;0;no;no
autorità;21752;astratto;non_animato;;avere autorità, fare la autorità;0;2;no;yes
avvenimento;2310;astratto;non_animato;;;0;0;no;no
avvenire;4198;astratto;non_animato;;;0;0;no;no
avventura;8719;astratto;non_animato;avventurare;;1;0;yes;no
avversario;9947;astratto;non_animato;;fare il avversario;0;1;no;yes
avvocato;8888;concreto;umano;;;0;0;no;no
azione;35625;astratto;non_animato;azionare;andare in azione, mandare in azione, mettere in azione;1;3;yes;yes
babbo;1380;concreto;umano;;;0;0;no;no
bacio;2944;astratto;non_animato;baciare;dare un(/il) bacio;1;1;yes;yes
bagno;5554;astratto;non_animato;bagnare;andare in bagno, fare il/un bagno, mettere a bagno;1;3;yes;yes
balcone;1335;concreto;non_animato;;;0;0;no;no
ballo;6439;astratto;non_animato;;avere in ballo, essere in ballo, fare un ballo, mettere in ballo;0;4;no;yes
bambina;6373;astratto;non_animato;;fare la bambina;0;1;no;yes
bambino;21480;concreto;umano;;fare il bambino;0;1;no;yes
banca;13030;concreto;non_animato;;;0;0;no;no
banco;4456;concreto;non_animato;sbancare;;1;0;yes;no
bandiera;10011;concreto;non_animato;imbandierare, sbandierare;;2;0;yes;no
bar;8869;concreto;non_animato;;;0;0;no;no
barba;2304;concreto;non_animato;barbare, sbarbare;fare la barba;2;1;yes;yes
base;79280;concreto;non_animato;basare;avere una base;1;1;yes;yes
battaglia;50559;concreto;non_animato;battagliare;andare in battaglia, dare (la) battaglia, fare la battaglia, mandare in battaglia;1;4;yes;yes
beato;2168;concreto;non_animato;;;0;0;no;no
bellezza;9478;astratto;non_animato;;;0;0;no;no
bello;9372;astratto;non_animato;;;0;0;no;no
bene;56442;astratto;non_animato;;fare il bene;0;1;no;yes
bestia;2656;concreto;non_animato;;andare in bestia, mandare in bestia;0;2;no;yes
biancheria;602;concreto;non_animato;;;0;0;no;no
bianco;23426;concreto;non_animato;;;0;0;no;no
bicchiere;1710;concreto;non_animato;;;0;0;no;no
bicicletta;2449;concreto;non_animato;;andare in bicicletta;0;1;no;yes
biglietto;3779;concreto;non_animato;;;0;0;no;no
bisogno;20393;astratto;non_animato;bisognare, abbisognare;avere (il) bisogno;2;1;yes;yes
bocca;10341;concreto;non_animato;boccare, abboccare, imboccare, sboccare, boccheggiare;mettere bocca;5;1;yes;yes
bomba;5398;concreto;non_animato;;mettere una bomba;0;1;no;yes
bombardamento;3967;astratto;non_animato;;;0;0;no;no
bontà;2206;astratto;non_animato;;;0;0;no;no
bordo;15464;concreto;non_animato;bordare, abbordare, bordeggiare;avere a bordo, essere a bordo, prendere a bordo;3;3;yes;yes
borghese;4756;concreto;non_animato;;;0;0;no;no
borsa;5667;concreto;non_animato;sborsare, borseggiare;;2;0;yes;no
bosco;6964;concreto;non_animato;imboscare;;1;0;yes;no
bottiglia;2420;concreto;non_animato;imbottigliare;mettere in bottiglia;1;1;yes;yes
braccio;9919;concreto;non_animato;abbracciare, imbracciare, sbracciarsi, sbracciare;;4;0;yes;no
brigadiere;483;concreto;umano;;;0;0;no;no
brutto;3521;concreto;non_animato;;;0;0;no;no
bue;902;concreto;animato;;;0;0;no;no
bugia;505;astratto;non_animato;;;0;0;no;no
buio;4669;astratto;non_animato;;;0;0;no;no
buongiorno;627;astratto;non_animato;;dare il buongiorno;0;1;no;yes
buono;6677;astratto;non_animato;;fare il buono;0;1;no;yes
caccia;22722;astratto;non_animato;;andare a caccia, dare la(/una) caccia, essere a caccia, essere in caccia, fare un caccia;0;5;no;yes
cadavere;3524;concreto;non_animato;;;0;0;no;no
caffè;4799;concreto;non_animato;;;0;0;no;no
calcio;40082;astratto;non_animato;calciare, scalciare, calcificare;dare un(/il) calcio, fare calcio, prendere a calcio;3;3;yes;yes
caldo;6366;astratto;non_animato;;fare un caldo;0;1;no;yes
calma;2289;astratto;non_animato;calmare;;1;0;yes;no
calza;344;concreto;non_animato;calzare, incalzare, scalzare;;3;0;yes;no
cambio;22215;astratto;non_animato;;avere in cambio, dare il(/un) cambio, dare in cambio, fare un cambio;0;4;no;yes
camera;22676;concreto;non_animato;incamerare;;1;0;yes;no
cameriere;919;concreto;umano;;;0;0;no;no
camicia;1378;concreto;non_animato;incamiciare, scamiciare;;2;0;yes;no
cammino;5680;astratto;non_animato;camminare, incamminare;mettere in cammino;2;1;yes;yes
campagna;25873;concreto;non_animato;;fare campagna;0;1;no;yes
campione;17715;concreto;umano;campionare;;1;0;yes;no
campo;65480;concreto;non_animato;campare, campare, campire, campire, accampare, scampare, campeggiare, campeggiare;avere campo, dare il campo, mettere in campo;8;3;yes;yes
canale;31934;concreto;non_animato;incanalare, scanalare, scanalare, canalizzare;;4;0;yes;no
cane;8825;concreto;animato;accanire;;1;0;yes;no
canto;14190;astratto;non_animato;;;0;0;no;no
canzone;37599;concreto;non_animato;canzonare;;1;0;yes;no
capello;1293;concreto;non_animato;;;0;0;no;no
capitale;30262;astratto;non_animato;capitalizzare;;1;0;yes;no
capitano;15127;concreto;umano;capitanare;fare il capitano;1;1;yes;yes
capo;47026;concreto;non_animato;capeggiare;avere a capo, essere a capo, mettere a capo, venire a capo;1;4;yes;yes
cappello;3435;concreto;non_animato;scappellare;;1;0;yes;no
carabiniere;927;concreto;umano;;fare il carabiniere;0;1;no;yes
carattere;22467;astratto;non_animato;caratterizzare;avere carattere, dare carattere;1;2;yes;yes
carbone;4035;concreto;non_animato;carbonare, carbonizzare;;2;0;yes;no
carcere;11132;concreto;non_animato;carcerare, incarcerare, scarcerare;andare in carcere, essere in carcere, mandare in carcere, mettere in carcere;3;4;yes;yes
carica;22804;astratto;non_animato;;avere la carica, dare la carica, mettere in carica;0;3;no;yes
carità;3462;astratto;non_animato;;avere la carità, fare la carità;0;2;no;yes
carne;9329;concreto;non_animato;incarnare, incarnire, scarnire;;3;0;yes;no
carogna;84;astratto;non_animato;incarognire;;1;0;yes;no
carriera;57675;astratto;non_animato;;fare (una) carriera;0;1;no;yes
carrozza;1164;concreto;non_animato;carrozzare, scarrozzare;;2;0;yes;no
carta;20023;concreto;non_animato;incartare, scartare, scartare;mettere su carta;3;1;yes;yes
cartolina;776;concreto;non_animato;;;0;0;no;no
casa;114201;concreto;non_animato;accasare;andare a casa, fare da casa;1;2;yes;yes
caso;110717;astratto;non_animato;;fare caso;0;1;no;yes
catena;10872;concreto;non_animato;incatenare, scatenare;essere in catena, mettere la catena;2;2;yes;yes
cattivo;4516;concreto;non_animato;;fare il cattivo;0;1;no;yes
cattolico;4865;concreto;non_animato;;;0;0;no;no
causa;83760;astratto;non_animato;causare;essere causa, fare causa, fare una causa;1;3;yes;yes
cavaliere;9023;concreto;umano;;fare il cavaliere;0;1;no;yes
cavallo;13742;concreto;animato;accavallare, scavallare, scavallare, scavallare;andare a cavallo, essere a cavallo;4;2;yes;yes
cellula;4343;concreto;non_animato;;;0;0;no;no
cena;6591;concreto;non_animato;cenare;andare a cena, essere a cena, fare una cena;1;3;yes;yes
centinaio;3109;astratto;non_animato;;;0;0;no;no
centro;84025;concreto;non_animato;centrare, accentrare, incentrare;fare centro;3;1;yes;yes
cerimonia;6798;concreto;non_animato;;fare una cerimonia;0;1;no;yes
certo;49549;concreto;non_animato;;;0;0;no;no
cervello;6842;concreto;non_animato;scervellare;;1;0;yes;no
chiaro;18554;concreto;non_animato;;;0;0;no;no
chiave;13646;concreto;non_animato;chiavare;;1;0;yes;no
chiesa;113604;concreto;non_animato;;;0;0;no;no
chilogrammo;254;astratto;non_animato;;;0;0;no;no
chilometro;1934;astratto;non_animato;;;0;0;no;no
ciao;5731;astratto;non_animato;;;0;0;no;no
cibo;9674;concreto;non_animato;cibare;;1;0;yes;no
cieco;2109;concreto;non_animato;;;0;0;no;no
cielo;20242;concreto;non_animato;;;0;0;no;no
cifra;5907;concreto;non_animato;cifrare;;1;0;yes;no
cima;7992;concreto;non_animato;cimare;mettere in cima;1;1;yes;yes
cimitero;7123;concreto;non_animato;;;0;0;no;no
cinema;34674;astratto;non_animato;;andare a cinema, fare cinema;0;2;no;yes
circostanza;2796;astratto;non_animato;;;0;0;no;no
città;196445;concreto;non_animato;;;0;0;no;no
cittadino;11489;concreto;umano;;;0;0;no;no
civile;26461;concreto;non_animato;;;0;0;no;no
civiltà;9338;astratto;non_animato;;;0;0;no;no
classe;38297;astratto;non_animato;classificare;;1;0;yes;no
cliente;4460;concreto;umano;;;0;0;no;no
clima;15024;astratto;non_animato;acclimare, acclimatare, climatizzare;;3;0;yes;no
coda;12619;concreto;non_animato;accodare, scodare, scodare;mettere in coda;3;1;yes;yes
cognome;4929;astratto;non_animato;;avere il cognome, dare il cognome, prendere il cognome;0;3;no;yes
colazione;2055;astratto;non_animato;;fare colazione;0;1;no;yes
collega;11567;concreto;umano;;;0;0;no;no
collina;6801;concreto;non_animato;scollinare;;1;0;yes;no
collo;5889;concreto;non_animato;accollare, scollare;;2;0;yes;no
colore;26859;concreto;non_animato;colorare, colorire, scolorare, scolorire;avere colore, dare (un) colore, prendere colore;4;3;yes;yes
colpa;9472;astratto;non_animato;incolpare;avere la colpa, dare (la/una) colpa, fare una colpa;1;3;yes;yes
colpo;17552;concreto;non_animato;colpire, scolpire;andare a colpo, dare un colpo, fare colpo, fare un colpo;2;4;yes;yes
coltello;1942;concreto;non_animato;accoltellare;;1;0;yes;no
comando;24836;astratto;non_animato;;avere il comando, dare il/un comando, essere a comando;0;3;no;yes
commercio;14062;astratto;non_animato;commerciare;avere in commercio, mettere in commercio;1;2;yes;yes
comodità;1218;astratto;non_animato;;;0;0;no;no
compagnia;26191;astratto;non_animato;;avere compagnia, fare compagnia, fare la compagnia;0;3;no;yes
compagno;11102;concreto;umano;accompagnare, scompagnare;;2;0;yes;no
compenso;3068;astratto;non_animato;;avere in compenso;0;1;no;yes
compito;15715;astratto;non_animato;;avere il compito, dare il compito, essere compito;0;3;no;yes
complesso;24602;astratto;non_animato;complessare;;1;0;yes;no
completo;10371;astratto;non_animato;;;0;0;no;no
complimento;303;astratto;non_animato;complimentare;fare il complimento, fare un complimento;1;2;yes;yes
comune;86591;astratto;non_animato;;avere in comune, essere in comune;0;2;no;yes
comunicazione;16844;astratto;non_animato;;dare comunicazione, fare comunicazione, fare la comunicazione, mettere in comunicazione;0;4;no;yes
comunista;13396;concreto;umano;;fare il comunista;0;1;no;yes
condizione;15287;astratto;non_animato;condizionare;dare una condizione, mettere in condizione;1;2;yes;yes
confessione;2252;astratto;non_animato;confessare, sconfessare;fare una confessione;2;1;yes;yes
confine;15775;concreto;non_animato;confinare, sconfinare;fare da confine;2;1;yes;yes
confronto;11270;astratto;non_animato;;fare un confronto, mettere a confronto, mettere in confronto;0;3;no;yes
confusione;4318;astratto;non_animato;;andare in confusione, fare confusione, mandare in confusione, mettere in confusione;0;4;no;yes
conoscenza;22553;astratto;non_animato;;avere (la) conoscenza, essere a conoscenza, fare (la) conoscenza, mettere a conoscenza, prendere conoscenza, venire a conoscenza;0;6;no;yes
conseguenza;18441;astratto;non_animato;;avere la conseguenza, essere conseguenza;0;2;no;yes
consenso;6482;astratto;non_animato;;avere consenso, dare (il) consenso;0;2;no;yes
consiglio;36218;astratto;non_animato;consigliare, sconsigliare;dare un(/il) consiglio;2;1;yes;yes
contadino;2279;concreto;umano;;fare il contadino, fare la contadino;0;2;no;yes
contatto;17608;astratto;non_animato;contattare;andare a contatto, avere contatto, essere in contatto, mettere a contatto, mettere in contatto, prendere contatto, venire a contatto, venire in contatto;1;8;yes;yes
conte;19875;concreto;umano;;;0;0;no;no
continente;6974;concreto;non_animato;;;0;0;no;no
conto;30502;astratto;non_animato;;dare conto, fare conto, fare un conto, mettere in conto, prendere in conto;0;5;no;yes
contrario;17588;astratto;non_animato;;;0;0;no;no
contratto;21909;concreto;non_animato;contrattare;essere sotto contratto, fare un contratto, mettere sotto contratto;1;3;yes;yes
convento;10250;concreto;non_animato;;;0;0;no;no
coraggio;7538;astratto;non_animato;incoraggiare, scoraggiare;avere (il) coraggio, dare (il) coraggio, prendere (il) coraggio;2;3;yes;yes
corda;3798;concreto;non_animato;;mettere la corda;0;1;no;yes
corno;2362;concreto;non_animato;incornare, scornare, scornare, cornificare;fare la corno, mettere la corno;4;2;yes;yes
corpo;56593;concreto;non_animato;accorpare;andare di corpo, avere in corpo, dare corpo, prendere corpo;1;4;yes;yes
corrente;16872;astratto;non_animato;;essere a corrente;0;1;no;yes
corsa;15479;astratto;non_animato;;essere in corsa, fare la corsa, fare una corsa;0;3;no;yes
corso;71873;astratto;non_animato;;dare corso, essere in corso, fare un corso;0;3;no;yes
corte;29442;concreto;non_animato;corteggiare;fare la(/una) corte;1;1;yes;yes
cortile;4823;concreto;non_animato;;;0;0;no;no
cosa;86852;concreto;non_animato;;;0;0;no;no
coscienza;9669;astratto;non_animato;;avere coscienza, avere la coscienza, prendere coscienza;0;3;no;yes
costa;23829;concreto;non_animato;accostare, scostare, costeggiare;;3;0;yes;no
costo;15562;astratto;non_animato;;avere il costo, essere a costo;0;2;no;yes
costruzione;43585;astratto;non_animato;;essere in costruzione;0;1;no;yes
creatura;4406;concreto;non_animato;;;0;0;no;no
cretino;395;concreto;non_animato;;fare il cretino, fare la cretino;0;2;no;yes
crisi;25618;astratto;non_animato;;andare in crisi, essere in crisi, mandare in crisi, mettere in crisi;0;4;no;yes
cristiano;7869;astratto;non_animato;;;0;0;no;no
Cristo;15693;concreto;umano;;;0;0;no;no
croce;18287;concreto;non_animato;incrociare;mettere in croce, mettere una croce;1;2;yes;yes
cucina;9469;concreto;non_animato;cucinare;;1;0;yes;no
cuore;26129;concreto;non_animato;accorare, scorare;avere a cuore, dare il cuore, mettere il cuore, prendere a cuore;2;4;yes;yes
cura;19597;astratto;non_animato;curare;andare in cura, avere cura, avere in cura, essere in cura, essere sotto cura, mettere in cura, prendere cura, prendere in cura;1;8;yes;yes
curiosità;16717;astratto;non_animato;;avere la curiosità;0;1;no;yes
curva;8538;concreto;non_animato;;fare una(/la) curva;0;1;no;yes
custode;1989;concreto;umano;custodire;fare il custode;1;1;yes;yes
danno;15944;astratto;non_animato;dannare, danneggiare;andare a danno, fare (un/il) danno;2;2;yes;yes
debito;4533;astratto;non_animato;addebitare, indebitare, sdebitare;avere il debito, essere in debito;3;2;yes;yes
decina;3877;astratto;non_animato;;;0;0;no;no
decisione;16442;astratto;non_animato;;fare una decisione, prendere una(/la) decisione;0;2;no;yes
delinquente;466;concreto;umano;;;0;0;no;no
delitto;4089;astratto;non_animato;;;0;0;no;no
denaro;11537;concreto;non_animato;;fare denaro;0;1;no;yes
dente;1299;concreto;non_animato;addentare, indentare, sdentare;;3;0;yes;no
desiderio;10245;astratto;non_animato;;avere il(/un) desiderio;0;1;no;yes
destino;8816;astratto;non_animato;;avere il destino;0;1;no;yes
destra;30367;astratto;non_animato;;;0;0;no;no
diavolo;4640;concreto;animato;;fare il diavolo;0;1;no;yes
difesa;29121;astratto;non_animato;;mettere a difesa;0;1;no;yes
difetto;2670;astratto;non_animato;;avere il difetto, essere in difetto;0;2;no;yes
differenza;28267;astratto;non_animato;differenziare;fare differenza, fare la differenza;1;2;yes;yes
difficoltà;22950;astratto;non_animato;;andare in difficoltà, avere (la) difficoltà, essere in difficoltà, mettere in difficoltà;0;4;no;yes
dimensione;11579;astratto;non_animato;dimensionare;avere (la) dimensione;1;1;yes;yes
dio;41341;concreto;animato;deificare;;1;0;yes;no
direttore;26699;concreto;umano;;essere direttore, fare il direttore;0;2;no;yes
direzione;28029;astratto;non_animato;direzionare;avere la/una direzione, dare una direzione, prendere una/la direzione;1;3;yes;yes
diritto;44880;astratto;non_animato;;avere (il) diritto, dare (il) diritto;0;2;no;yes
disco;32264;concreto;non_animato;;fare un disco;0;1;no;yes
discorso;12499;astratto;non_animato;;fare un/il discorso;0;1;no;yes
disegno;11951;concreto;non_animato;;fare un disegno;0;1;no;yes
disgrazia;1381;astratto;non_animato;;avere la disgrazia, essere in disgrazia;0;2;no;yes
disgraziato;149;astratto;non_animato;;;0;0;no;no
disordine;1311;astratto;non_animato;;essere in disordine, mettere in disordine;0;2;no;yes
disperazione;2278;astratto;non_animato;;;0;0;no;no
disposizione;19596;astratto;non_animato;;avere a disposizione, avere la disposizione, dare a disposizione, mettere a disposizione;0;4;no;yes
distanza;23799;astratto;non_animato;distanziare;avere la/una distanza, prendere distanza;1;2;yes;yes
disturbo;2942;astratto;non_animato;;essere di disturbo;0;1;no;yes
dito;2862;concreto;non_animato;additare;;1;0;yes;no
divisione;21908;astratto;non_animato;;fare la divisione;0;1;no;yes
documento;11786;concreto;non_animato;documentare;;1;0;yes;no
dolore;9462;astratto;non_animato;dolorare, addolorare;avere il dolore, dare un dolore;2;2;yes;yes
domanda;14003;astratto;non_animato;;fare domanda, fare (una/la) domanda;0;2;no;yes
domani;7329;astratto;non_animato;;;0;0;no;no
domenica;23347;astratto;non_animato;;;0;0;no;no
don;19960;concreto;umano;;;0;0;no;no
donna;44843;concreto;umano;;andare a donna, essere donna;0;2;no;yes
doppio;17188;concreto;non_animato;;;0;0;no;no
dote;1746;astratto;non_animato;dotare;andare in dote, avere in dote, avere la dote, dare in dote;1;4;yes;yes
dottore;3604;concreto;umano;addottorare;fare il dottore;1;1;yes;yes
dovere;5274;astratto;non_animato;;avere il dovere;0;1;no;yes
dubbio;11207;astratto;non_animato;dubitare;avere un/il dubbio, essere in dubbio, mettere in dubbio;1;3;yes;yes
eccellenza;5283;astratto;non_animato;;;0;0;no;no
educazione;8851;astratto;non_animato;;dare una educazione;0;1;no;yes
effetto;23495;astratto;non_animato;;avere effetto, avere un/il effetto, dare un/il effetto, essere sotto effetto, fare (un) effetto;0;5;no;yes
elemento;16323;astratto;non_animato;;;0;0;no;no
emozione;2285;astratto;non_animato;emozionare;;1;0;yes;no
energia;30621;astratto;non_animato;;avere (una) energia, dare energia;0;2;no;yes
entusiasmo;3767;astratto;non_animato;entusiasmare;;1;0;yes;no
episodio;29178;astratto;non_animato;;;0;0;no;no
epoca;61323;astratto;non_animato;;;0;0;no;no
erba;4239;concreto;non_animato;;;0;0;no;no
eroe;7418;concreto;umano;;fare il eroe;0;1;no;yes
errore;11453;astratto;non_animato;;essere in errore, fare un errore;0;2;no;yes
esame;8317;astratto;non_animato;esaminare;dare un/il esame, essere sotto esame, fare un esame, mettere sotto esame, prendere in esame;1;5;yes;yes
esempio;97367;astratto;non_animato;esemplificare;dare un esempio, fare da esempio, fare un esempio, prendere a esempio, prendere da esempio, prendere esempio, prendere in esempio;1;7;yes;yes
esercito;43882;concreto;non_animato;;;0;0;no;no
esilio;6584;astratto;non_animato;esiliare;andare in esilio, essere in esilio, mandare in esilio;1;3;yes;yes
esistenza;19344;astratto;non_animato;;venire ad esistenza;0;1;no;yes
esperienza;27685;astratto;non_animato;;avere esperienza, avere una esperienza, fare esperienza;0;3;no;yes
esposizione;8954;astratto;non_animato;;essere in esposizione, mettere in esposizione;0;2;no;yes
espressione;15421;astratto;non_animato;;dare espressione;0;1;no;yes
estate;28626;astratto;non_animato;;;0;0;no;no
esterno;18832;astratto;non_animato;;;0;0;no;no
estero;12834;astratto;non_animato;;;0;0;no;no
estraneo;1516;astratto;non_animato;;;0;0;no;no
età;49792;astratto;non_animato;;;0;0;no;no
europeo;18559;astratto;non_animato;;;0;0;no;no
fabbrica;8887;concreto;non_animato;fabbricare;;1;0;yes;no
faccenda;1443;astratto;non_animato;affaccendare, sfaccendare;;2;0;yes;no
faccia;16975;concreto;non_animato;affacciare;mettere la faccia;1;1;yes;yes
facciata;15100;concreto;non_animato;;;0;0;no;no
falso;5540;concreto;non_animato;;fare un falso;0;1;no;yes
fame;7434;astratto;non_animato;affamare, sfamare;avere fame, fare la fame;2;2;yes;yes
famiglia;102107;concreto;umano;;dare una famiglia, fare una/la famiglia;0;2;no;yes
fantasia;5261;astratto;non_animato;;;0;0;no;no
fascista;7976;concreto;umano;fascistizzare;fare il fascista;1;1;yes;yes
fastidio;1852;astratto;non_animato;infastidire;dare fastidio;1;1;yes;yes
fatica;5263;astratto;non_animato;faticare, affaticare;fare (la/una) fatica;2;1;yes;yes
fatto;161681;concreto;non_animato;;;0;0;no;no
favore;22441;astratto;non_animato;favorire, favoreggiare;andare a favore, avere il favore, essere a favore, essere in favore, fare un/il favore;2;5;yes;yes
fede;15473;astratto;non_animato;;avere (la) fede, dare la fede, fare fede;0;3;no;yes
felicità;4254;astratto;non_animato;;avere la felicità, dare la felicità;0;2;no;yes
fenomeno;17360;astratto;non_animato;;fare il fenomeno;0;1;no;yes
ferita;3150;concreto;non_animato;;;0;0;no;no
fermo;6190;concreto;non_animato;;;0;0;no;no
