Var1;Var2;nome;added;sinonimia;Column1;Column2;Unnamed: 7;similarity_w2v;freq_Var1_w2v;freq_Var2_w2v;freq_Var1_ft;freq_Var2_ft
fare acqua;sciacquare;acqua;;;fare;;;0.29106682538986206;104;157;105;157
mettere in acqua;sciacquare;acqua;;;mettere;;;0.6238592863082886;30;157;30;157
dare amore;amoreggiare;amore;;;dare;;;;0;112;16;112
dare amore;innamorare;amore;;;dare;;;;0;11029;16;11029
essere in amore;amoreggiare;amore;;;essere;;;;0;112;10;112
essere in amore;innamorare;amore;;;essere;;;;0;11029;10;11029
fare da anello;inanellare;anello;;;fare;;;;0;348;5;348
dare anima;animare;anima;;;dare;;;;0;4401;13;4401
avere il argomento;argomentare;argomento;;;avere;;;;0;1078;6;1078
dare aria;arieggiare;aria;;;dare;;;0.5545573234558105;47;62;48;62
prendere aria;arieggiare;aria;;;prendere;;;0.6175220012664795;40;62;40;62
mettere in arma;armare;arma;;y;mettere;c;;;0;6328;0;6328
mettere in arma;armeggiare;arma;;;mettere;;;;0;87;0;87
avere attenzione;attenzionare;attenzione;;;avere;;;;20;0;20;7
dare attenzione;attenzionare;attenzione;;;dare;;;;28;0;28;7
fare attenzione;attenzionare;attenzione;;;fare;;;;800;0;805;7
avere in atto;atteggiare;atto;;;avere;;;;0;433;11;433
dare atto;atteggiare;atto;;;dare;;;0.23219113051891327;272;433;272;433
mettere in atto;atteggiare;atto;;;mettere;;;0.2136254906654358;2241;433;2241;433
prendere atto;atteggiare;atto;;;prendere;;;0.26756948232650757;1097;433;1099;433
andare in azione;azionare;azione;;;andare;;;;0;2150;6;2150
mandare in azione;azionare;azione;;y;mandare;c;;0.3293444514274597;31;2150;31;2150
mettere in azione;azionare;azione;;y;mettere;c;;0.5396320819854736;73;2150;73;2150
dare il bacio;baciare;bacio;;y;dare;c;;;0;3363;12;3363
dare un bacio;baciare;bacio;;y;dare;c;;0.7409364581108093;100;3363;102;3363
andare in bagno;bagnare;bagno;;;andare;;;0.33410316705703735;182;2625;182;2625
mettere a bagno;bagnare;bagno;;;mettere;;;0.5508613586425781;25;2625;25;2625
fare la barba;barbare;barba;;;fare;;;;0;0;0;11
fare la barba;sbarbare;barba;;y;fare;p;;;0;40;0;40
avere una base;basare;base;;y;avere;c;;0.39155566692352295;236;40898;236;40898
andare in battaglia;battagliare;battaglia;;y;andare;c;;0.3616637587547302;35;102;35;102
dare battaglia;battagliare;battaglia;;y;dare;c;;0.5200332999229431;374;102;377;102
fare la battaglia;battagliare;battaglia;;y;fare;c;;;0;102;0;102
mandare in battaglia;battagliare;battaglia;;;mandare;;;;0;102;7;102
avere bisogno;bisognare;bisogno;;y;avere;c;;0.4343920946121216;10730;21003;10737;21003
avere bisogno;abbisognare;bisogno;;y;avere;p;;0.6078041791915894;10730;207;10737;207
mettere bocca;boccare;bocca;;;mettere;;;;32;0;32;7
mettere bocca;abboccare;bocca;;;mettere;;;0.4677559733390808;32;188;32;188
mettere bocca;imboccare;bocca;;;mettere;;;0.16938355565071106;32;1543;32;1543
mettere bocca;sboccare;bocca;;;mettere;;;0.26332980394363403;32;478;32;478
mettere bocca;boccheggiare;bocca;;;mettere;;;0.5030093193054199;32;41;32;41
mettere in bocca;boccare;bocca;1.0;0;;mettere;;;125;0;0;7
mettere in bocca;abboccare;bocca;1.0;0;;mettere;;0.54388028383255;125;188;0;188
mettere in bocca;imboccare;bocca;1.0;0;y;mettere;p;0.16422846913337708;125;1543;0;1543
mettere in bocca;sboccare;bocca;1.0;0;;mettere;;0.22382007539272308;125;478;0;478
mettere in bocca;boccheggiare;bocca;1.0;0;;mettere;;0.36013686656951904;125;41;0;41
avere a bordo;bordare;bordo;;;avere;;;0.1463426649570465;94;553;95;553
avere a bordo;abbordare;bordo;;;avere;;;0.4731411933898926;94;269;95;269
avere a bordo;bordeggiare;bordo;;;avere;;;0.30706870555877686;94;23;95;23
essere a bordo;bordare;bordo;;;essere;;;0.19896605610847473;235;553;237;553
essere a bordo;abbordare;bordo;;;essere;;;0.5140628814697266;235;269;237;269
essere a bordo;bordeggiare;bordo;;;essere;;;0.26009443402290344;235;23;237;23
prendere a bordo;bordare;bordo;;;prendere;;;0.2084396630525589;38;553;39;553
prendere a bordo;abbordare;bordo;;;prendere;;;0.6638234853744507;38;269;39;269
prendere a bordo;bordeggiare;bordo;;;prendere;;;0.34082430601119995;38;23;39;23
mettere in bottiglia;imbottigliare;bottiglia;;y;mettere;p;;;0;321;10;321
dare il calcio;calciare;calcio;;y;dare;c;;;0;751;5;751
dare un calcio;calciare;calcio;;y;dare;c;;0.5213226079940796;73;751;73;751
dare il calcio;scalciare;calcio;;y;dare;p;;;0;94;5;94
dare un calcio;scalciare;calcio;;y;dare;p;;0.7117873430252075;73;94;73;94
dare il calcio;calcificare;calcio;;;dare;;;;0;74;5;74
dare un calcio;calcificare;calcio;;;dare;;;0.2864462733268738;73;74;73;74
fare calcio;calciare;calcio;;;fare;;;;0;751;7;751
fare calcio;scalciare;calcio;;;fare;;;;0;94;7;94
fare calcio;calcificare;calcio;;;fare;;;;0;74;7;74
prendere a calcio;calciare;calcio;;y;prendere;c;;0.44513627886772156;200;751;201;751
prendere a calcio;scalciare;calcio;;y;prendere;p;;0.5996472835540771;200;94;201;94
prendere a calcio;calcificare;calcio;;;prendere;;;0.16673746705055237;200;74;201;74
mettere in cammino;camminare;cammino;;y;mettere;c;;0.42200684547424316;58;5515;58;5515
mettere in cammino;incamminare;cammino;;;mettere;;;0.6971002817153931;58;491;58;491
avere campo;campare;campo;;;avere;;;0.25311246514320374;87;893;88;893
avere campo;campare;campo;;;avere;;;0.25311246514320374;87;893;88;893
avere campo;campire;campo;;;avere;;;0.12319587171077728;87;41;88;41
avere campo;campire;campo;;;avere;;;0.12319587171077728;87;41;88;41
avere campo;accampare;campo;;;avere;;;0.18148338794708252;87;1197;88;1197
avere campo;scampare;campo;;;avere;;;0.2351580411195755;87;1136;88;1136
avere campo;campeggiare;campo;;;avere;;;0.19156602025032043;87;907;88;907
avere campo;campeggiare;campo;;;avere;;;0.19156602025032043;87;907;88;907
dare il campo;campare;campo;;;dare;;;;0;893;6;893
dare il campo;campare;campo;;;dare;;;;0;893;6;893
dare il campo;campire;campo;;;dare;;;;0;41;6;41
dare il campo;campire;campo;;;dare;;;;0;41;6;41
dare il campo;accampare;campo;;;dare;;;;0;1197;6;1197
dare il campo;scampare;campo;;;dare;;;;0;1136;6;1136
dare il campo;campeggiare;campo;;;dare;;;;0;907;6;907
dare il campo;campeggiare;campo;;;dare;;;;0;907;6;907
mettere in campo;campare;campo;;;mettere;;;0.194138765335083;806;893;806;893
mettere in campo;campare;campo;;;mettere;;;0.194138765335083;806;893;806;893
mettere in campo;campire;campo;;;mettere;;;0.08381253480911255;806;41;806;41
mettere in campo;campire;campo;;;mettere;;;0.08381253480911255;806;41;806;41
mettere in campo;accampare;campo;;y;mettere;p;;0.23345252871513367;806;1197;806;1197
mettere in campo;scampare;campo;;;mettere;;;0.1399085372686386;806;1136;806;1136
mettere in campo;campeggiare;campo;;;mettere;;;0.1279648393392563;806;907;806;907
mettere in campo;campeggiare;campo;;;mettere;;;0.1279648393392563;806;907;806;907
fare il capitano;capitanare;capitano;;y;fare;c;;;0;1735;7;1735
avere a capo;capeggiare;capo;;;avere;;;0.4889155328273773;36;1966;36;1966
essere a capo;capeggiare;capo;;y;essere;s;;0.6005111932754517;1182;1966;1183;1966
mettere a capo;capeggiare;capo;;;mettere;;;0.5435086488723755;389;1966;390;1966
venire a capo;capeggiare;capo;;;venire;;;0.2997981309890747;141;1966;141;1966
avere carattere;caratterizzare;carattere;;;avere;;;0.35943737626075745;612;36403;614;36403
dare carattere;caratterizzare;carattere;;y;dare;s;;;0;36403;16;36403
andare in carcere;carcerare;carcere;;;andare;;;0.5700830221176147;76;104;76;104
andare in carcere;incarcerare;carcere;;;andare;;;0.5213861465454102;76;1463;76;1463
andare in carcere;scarcerare;carcere;;;andare;;;0.5763711929321289;76;552;76;552
essere in carcere;carcerare;carcere;;;essere;;;0.6142697334289551;241;104;243;104
essere in carcere;incarcerare;carcere;;;essere;;;0.6537808179855347;241;1463;243;1463
essere in carcere;scarcerare;carcere;;;essere;;;0.6502335071563721;241;552;243;552
mandare in carcere;carcerare;carcere;;y;mandare;c;;;0;104;19;104
mandare in carcere;incarcerare;carcere;;y;mandare;p;;;0;1463;19;1463
mandare in carcere;scarcerare;carcere;;;mandare;;;;0;552;19;552
mettere in carcere;carcerare;carcere;;y;mettere;c;;0.6924569010734558;58;104;58;104
mettere in carcere;incarcerare;carcere;;y;mettere;p;;0.7575533986091614;58;1463;58;1463
mettere in carcere;scarcerare;carcere;;;mettere;;;0.693832516670227;58;552;58;552
mettere su carta;incartare;carta;;;mettere;;;0.4018145799636841;33;123;33;123
mettere su carta;scartare;carta;;;mettere;;;0.39253661036491394;33;2442;33;2442
mettere su carta;scartare;carta;;;mettere;;;0.39253661036491394;33;2442;33;2442
andare a casa;accasare;casa;;;andare;;;0.27047356963157654;739;573;739;573
fare da casa;accasare;casa;;;fare;;;;0;573;18;573
essere in catena;incatenare;catena;;;essere;;;;0;662;9;662
essere in catena;scatenare;catena;;;essere;;;;0;7649;9;7649
mettere in catena;incatenare;catena;1.0;0;y;mettere;p;;0;662;0;662
mettere in catena;scatenare;catena;1.0;0;;mettere;;;0;7649;0;7649
mettere la catena;incatenare;catena;;;mettere;;;;0;662;0;662
mettere la catena;scatenare;catena;;;mettere;;;;0;7649;0;7649
essere causa;causare;causa;;y;essere;c;;0.7158597707748413;987;26753;1006;26753
fare causa;causare;causa;;;fare;;;0.2312440574169159;461;26753;461;26753
fare una causa;causare;causa;;;fare;;;0.2500222623348236;20;26753;20;26753
andare a cavallo;accavallare;cavallo;;;andare;;;0.30380749702453613;73;234;73;234
andare a cavallo;scavallare;cavallo;;;andare;;;;73;0;73;11
andare a cavallo;scavallare;cavallo;;;andare;;;;73;0;73;11
andare a cavallo;scavallare;cavallo;;;andare;;;;73;0;73;11
essere a cavallo;accavallare;cavallo;;;essere;;;0.23622044920921326;57;234;60;234
essere a cavallo;scavallare;cavallo;;;essere;;;;57;0;60;11
essere a cavallo;scavallare;cavallo;;;essere;;;;57;0;60;11
essere a cavallo;scavallare;cavallo;;;essere;;;;57;0;60;11
andare a cena;cenare;cena;;y;andare;c;;0.7395548820495605;133;550;133;550
essere a cena;cenare;cena;;y;essere;c;;0.6496938467025757;67;550;67;550
fare una cena;cenare;cena;;y;fare;c;;;0;550;13;550
fare centro;centrare;centro;;y;fare;c;;0.48153144121170044;92;3600;96;3600
fare centro;accentrare;centro;;;fare;;;0.25616106390953064;92;478;96;478
fare centro;incentrare;centro;;;fare;;;0.2574540972709656;92;4984;96;4984
mettere in cima;cimare;cima;;;mettere;;;;0;99;16;99
mettere in coda;accodare;coda;;;mettere;;;0.49493408203125;43;286;43;286
mettere in coda;scodare;coda;;;mettere;;;0.46578267216682434;43;20;43;20
mettere in coda;scodare;coda;;;mettere;;;0.46578267216682434;43;20;43;20
avere colore;colorare;colore;;;avere;;;0.617999255657196;220;1515;224;1515
avere colore;colorire;colore;;;avere;;;0.3148218095302582;220;159;224;159
avere colore;scolorare;colore;;;avere;;;0.6390271186828613;220;22;224;22
avere colore;scolorire;colore;;;avere;;;0.5509099364280701;220;94;224;94
dare colore;colorare;colore;;y;dare;c;;0.5649644136428833;41;1515;45;1515
dare colore;colorire;colore;;y;dare;c;;0.5468268394470215;41;159;45;159
dare colore;scolorare;colore;;;dare;;;0.6278111934661865;41;22;45;22
dare colore;scolorire;colore;;;dare;;;0.5098782777786255;41;94;45;94
prendere colore;colorare;colore;;y;prendere;c;;;0;1515;12;1515
prendere colore;colorire;colore;;y;prendere;c;;;0;159;12;159
prendere colore;scolorare;colore;;;prendere;;;;0;22;12;22
prendere colore;scolorire;colore;;;prendere;;;;0;94;12;94
avere la colpa;incolpare;colpa;;;avere;;;;0;849;0;849
fare una colpa;incolpare;colpa;;;fare;;;0.3999401032924652;26;849;26;849
dare la colpa;incolpare;colpa;;y;dare;p;;;0;849;0;849
andare a colpo;colpire;colpo;;;andare;;;;0;35664;16;35664
andare a colpo;scolpire;colpo;;;andare;;;;0;3555;16;3555
dare un colpo;colpire;colpo;;y;dare;c;;0.282871276140213;109;35664;111;35664
dare un colpo;scolpire;colpo;;;dare;;;0.15274283289909363;109;3555;111;3555
fare colpo;colpire;colpo;;y;fare;c;;0.23435050249099731;220;35664;220;35664
fare colpo;scolpire;colpo;;;fare;;;0.18887974321842194;220;3555;220;3555
fare un colpo;colpire;colpo;;;fare;;;0.3582559823989868;29;35664;31;35664
fare un colpo;scolpire;colpo;;;fare;;;0.17986014485359192;29;3555;31;3555
avere in commercio;commerciare;commercio;;;avere;;;;0;865;10;865
mettere in commercio;commerciare;commercio;;y;mettere;c;;0.2918179929256439;587;865;587;865
fare il complimento;complimentare;complimento;;y;fare;c;;0.6059550046920776;216;431;217;431
fare un complimento;complimentare;complimento;;y;fare;c;;;0;431;16;431
dare una condizione;condizionare;condizione;;;dare;;;;0;4392;6;4392
mettere in condizione;condizionare;condizione;;;mettere;;;0.3344840407371521;285;4392;285;4392
fare una confessione;confessare;confessione;;y;fare;c;;;0;5277;11;5277
fare una confessione;sconfessare;confessione;;;fare;;;;0;344;11;344
fare da confine;confinare;confine;;;fare;;;0.6148959398269653;86;4295;86;4295
fare da confine;sconfinare;confine;;;fare;;;0.3465624451637268;86;684;86;684
dare il consiglio;consigliare;consiglio;;y;dare;c;;;0;8736;14;8736
dare un consiglio;consigliare;consiglio;;y;dare;c;;0.443080872297287;64;8736;67;8736
dare il consiglio;sconsigliare;consiglio;;;dare;;;;0;1201;14;1201
dare un consiglio;sconsigliare;consiglio;;;dare;;;0.3086300492286682;64;1201;67;1201
andare a contatto;contattare;contatto;;;andare;;;;0;8933;16;8933
avere contatto;contattare;contatto;;;avere;;;0.38268259167671204;667;8933;668;8933
essere in contatto;contattare;contatto;;;essere;;;0.3608754575252533;444;8933;446;8933
mettere a contatto;contattare;contatto;;;mettere;;;0.1593332290649414;81;8933;81;8933
mettere in contatto;contattare;contatto;;y;mettere;c;;0.469540536403656;512;8933;512;8933
prendere contatto;contattare;contatto;;y;prendere;c;;0.4367052912712097;532;8933;534;8933
venire a contatto;contattare;contatto;;y;venire;c;;0.2063961625099182;840;8933;842;8933
venire in contatto;contattare;contatto;;y;venire;c;;0.33654046058654785;419;8933;419;8933
essere sotto contratto;contrattare;contratto;;;essere;;;0.4134383201599121;174;387;174;387
fare un contratto;contrattare;contratto;;;fare;;;0.4082591235637665;43;387;44;387
mettere sotto contratto;contrattare;contratto;;;mettere;;;0.3439021110534668;714;387;714;387
avere coraggio;incoraggiare;coraggio;;;avere;;;0.22263017296791077;97;4333;98;4333
avere coraggio;scoraggiare;coraggio;;;avere;;;0.31645965576171875;97;1618;98;1618
dare coraggio;incoraggiare;coraggio;;y;dare;p;;0.4373926818370819;26;4333;26;4333
dare coraggio;scoraggiare;coraggio;;;dare;;;0.4478878974914551;26;1618;26;1618
prendere coraggio;incoraggiare;coraggio;;;prendere;;;0.3277018666267395;77;4333;77;4333
prendere coraggio;scoraggiare;coraggio;;;prendere;;;0.3700824975967407;77;1618;77;1618
fare la corno;incornare;corno;;;fare;;;;0;56;0;56
fare la corno;scornare;corno;;;fare;;;;0;21;0;21
fare la corno;scornare;corno;;;fare;;;;0;21;0;21
fare la corno;cornificare;corno;;y;fare;s;;;0;31;0;31
mettere la corno;incornare;corno;;;mettere;;;;0;56;0;56
mettere la corno;scornare;corno;;;mettere;;;;0;21;0;21
mettere la corno;scornare;corno;;;mettere;;;;0;21;0;21
mettere la corno;cornificare;corno;;y;mettere;s;;;0;31;0;31
andare di corpo;accorpare;corpo;;;andare;;;;0;986;16;986
avere in corpo;accorpare;corpo;;;avere;;;0.023267440497875214;33;986;33;986
dare corpo;accorpare;corpo;;;dare;;;0.24996033310890198;227;986;227;986
prendere corpo;accorpare;corpo;;;prendere;;;0.2508925497531891;358;986;358;986
fare la corte;corteggiare;corte;;y;fare;s;;;0;937;0;937
fare una corte;corteggiare;corte;;y;fare;s;;;0;937;13;937
mettere in croce;incrociare;croce;;y;mettere;p;;0.19822907447814941;48;3709;49;3709
mettere una croce;incrociare;croce;;;mettere;;;;0;3709;12;3709
avere a cuore;accorare;cuore;;;avere;;;0.40816745162010193;300;58;302;58
avere a cuore;scorare;cuore;;;avere;;;;300;0;302;15
dare il cuore;accorare;cuore;;;dare;;;;0;58;7;58
dare il cuore;scorare;cuore;;;dare;;;;0;0;7;15
mettere il cuore;accorare;cuore;;;mettere;;;0.49793845415115356;40;58;40;58
mettere il cuore;scorare;cuore;;;mettere;;;;40;0;40;15
prendere a cuore;accorare;cuore;;;prendere;;;0.4117218255996704;140;58;140;58
prendere a cuore;scorare;cuore;;;prendere;;;;140;0;140;15
andare in cura;curare;cura;;;andare;;;;0;16537;5;16537
avere cura;curare;cura;;y;avere;c;;0.23128946125507355;484;16537;487;16537
avere in cura;curare;cura;;y;avere;c;;0.3824514150619507;109;16537;109;16537
essere in cura;curare;cura;;;essere;;;0.3255857825279236;96;16537;97;16537
essere sotto cura;curare;cura;;;essere;;;;0;16537;6;16537
mettere in cura;curare;cura;;;mettere;;;;0;16537;7;16537
prendere cura;curare;cura;;y;prendere;c;;0.4234134554862976;954;16537;955;16537
prendere in cura;curare;cura;;y;prendere;c;;0.45270437002182007;45;16537;45;16537
fare il custode;custodire;custode;;y;fare;c;;;0;5705;8;5705
andare a danno;dannare;danno;;;andare;;;;0;299;10;299
andare a danno;danneggiare;danno;;y;andare;s;;;0;9194;10;9194
fare danno;dannare;danno;;;fare;;;0.33253365755081177;207;299;210;299
fare il danno;dannare;danno;;;fare;;;0.4244529604911804;20;299;20;299
fare un danno;dannare;danno;;;fare;;;0.44738343358039856;26;299;26;299
fare danno;danneggiare;danno;;y;fare;s;;0.409070760011673;207;9194;210;9194
fare il danno;danneggiare;danno;;y;fare;s;;0.2957431674003601;20;9194;20;9194
fare un danno;danneggiare;danno;;y;fare;s;;0.34721171855926514;26;9194;26;9194
avere il debito;addebitare;debito;;;avere;;;;0;523;5;523
avere il debito;indebitare;debito;;;avere;;;;0;544;5;544
avere il debito;sdebitare;debito;;;avere;;;;0;125;5;125
essere in debito;addebitare;debito;;;essere;;;0.3532295823097229;55;523;55;523
essere in debito;indebitare;debito;;;essere;;;0.5197833180427551;55;544;55;544
essere in debito;sdebitare;debito;;;essere;;;0.49223655462265015;55;125;55;125
fare differenza;differenziare;differenza;;y;fare;c;;0.2642120122909546;158;6485;158;6485
fare la differenza;differenziare;differenza;;y;fare;c;;;0;6485;0;6485
avere dimensione;dimensionare;dimensione;;;avere;;;0.36481553316116333;806;244;806;244
avere la direzione;direzionare;direzione;;;avere;;;;0;49;0;49
avere una direzione;direzionare;direzione;;;avere;;;0.561903178691864;30;49;35;49
prendere una direzione;direzionare;direzione;;;prendere;;;0.37242862582206726;40;49;40;49
dare una direzione;direzionare;direzione;;y;dare;c;;;0;49;11;49
prendere distanza;distanziare;distanza;;y;prendere;c;;;0;1147;17;1147
avere il dolore;dolorare;dolore;;;avere;;;;0;28;12;28
avere il dolore;addolorare;dolore;;;avere;;;;0;253;12;253
dare un dolore;dolorare;dolore;;;dare;;;;0;28;6;28
dare un dolore;addolorare;dolore;;y;dare;p;;;0;253;6;253
andare in dote;dotare;dote;;;andare;;;;0;22348;6;22348
avere in dote;dotare;dote;;;avere;;;0.2481939196586609;33;22348;34;22348
avere la dote;dotare;dote;;;avere;;;;0;22348;0;22348
dare in dote;dotare;dote;;;dare;;;;0;22348;18;22348
fare il dottore;addottorare;dottore;;;fare;;;;0;34;8;34
avere il dubbio;dubitare;dubbio;;y;avere;s;;0.5065721273422241;45;1948;45;1948
avere un dubbio;dubitare;dubbio;;y;avere;s;;0.43618106842041016;23;1948;23;1948
essere in dubbio;dubitare;dubbio;;y;essere;s;;0.5321495532989502;69;1948;69;1948
mettere in dubbio;dubitare;dubbio;;;mettere;;;0.6922208070755005;1146;1948;1146;1948
essere sotto esame;esaminare;esame;;;essere;;;;0;5002;12;5002
fare un esame;esaminare;esame;;y;fare;c;;0.4921566843986511;43;5002;45;5002
mettere sotto esame;esaminare;esame;;y;mettere;c;;;0;5002;14;5002
prendere in esame;esaminare;esame;;y;prendere;c;;0.6463062763214111;739;5002;739;5002
dare un esempio;esemplificare;esempio;;y;dare;s;;0.39533138275146484;66;449;66;449
fare da esempio;esemplificare;esempio;;;fare;;;;0;449;12;449
fare un esempio;esemplificare;esempio;;y;fare;s;;0.30679863691329956;965;449;965;449
prendere a esempio;esemplificare;esempio;;;prendere;;;;0;449;16;449
prendere da esempio;esemplificare;esempio;;;prendere;;;;0;449;11;449
prendere esempio;esemplificare;esempio;;;prendere;;;0.34428250789642334;122;449;122;449
prendere in esempio;esemplificare;esempio;;;prendere;;;;0;449;14;449
andare in esilio;esiliare;esilio;;;andare;;;0.7098901271820068;306;2227;306;2227
essere in esilio;esiliare;esilio;;;essere;;;0.6347415447235107;86;2227;86;2227
mandare in esilio;esiliare;esilio;;y;mandare;c;;0.824740469455719;193;2227;195;2227
mettere la faccia;affacciare;faccia;;;mettere;;;;0;6806;0;6806
avere fame;affamare;fame;;;avere;;;0.5047839879989624;243;337;248;337
avere fame;sfamare;fame;;;avere;;;0.50868821144104;243;541;248;541
fare la fame;affamare;fame;;;fare;;;;0;337;0;337
fare la fame;sfamare;fame;;;fare;;;;0;541;0;541
fare il fascista;fascistizzare;fascista;;;fare;;;;0;0;5;11
dare fastidio;infastidire;fastidio;;y;dare;p;;0.6171900033950806;619;1295;624;1295
andare a favore;favorire;favore;;y;andare;c;;0.3666797876358032;71;14724;71;14724
andare a favore;favoreggiare;favore;;y;andare;s;;0.31688544154167175;71;22;71;22
avere il favore;favorire;favore;;;avere;;;0.41175276041030884;28;14724;29;14724
avere il favore;favoreggiare;favore;;;avere;;;0.5529828071594238;28;22;29;22
essere a favore;favorire;favore;;y;essere;c;;0.3575330078601837;428;14724;430;14724
essere a favore;favoreggiare;favore;;;essere;;;0.39025938510894775;428;22;430;22
essere in favore;favorire;favore;;;essere;;;0.3456438183784485;45;14724;45;14724
essere in favore;favoreggiare;favore;;;essere;;;0.4743761420249939;45;22;45;22
essere in festa;festeggiare;festa;;;essere;;;0.6311436891555786;35;6327;35;6327
fare festa;festeggiare;festa;;y;fare;s;;0.5530737638473511;186;6327;188;6327
fare il favore;favorire;favore;;y;fare;c;;;0;14724;13;14724
fare un favore;favorire;favore;;y;fare;c;;0.12914003431797028;141;14724;142;14724
fare il favore;favoreggiare;favore;;y;fare;s;;;0;22;13;22
fare un favore;favoreggiare;favore;;y;fare;s;;0.5901381969451904;141;22;142;22
avere a fianco;fiancare;fianco;;;avere;;;0.3467105031013489;22;33;23;33
avere a fianco;affiancare;fianco;;y;avere;p;;0.3880087733268738;22;12948;23;12948
avere a fianco;sfiancare;fianco;;;avere;;;0.31522393226623535;22;166;23;166
avere a fianco;fiancheggiare;fianco;;;avere;;;0.2426833212375641;22;930;23;930
dare fiato;fiatare;fiato;;;dare;;;0.43758624792099;82;110;82;110
dare fiato;affiatare;fiato;;;dare;;;0.13209891319274902;82;326;82;326
dare fiato;sfiatare;fiato;;;dare;;;0.46007809042930603;82;44;82;44
prendere fiato;fiatare;fiato;;y;prendere;c;;0.585088849067688;36;110;36;110
prendere fiato;affiatare;fiato;;;prendere;;;0.2393234223127365;36;326;36;326
prendere fiato;sfiatare;fiato;;;prendere;;;0.5586321353912354;36;44;36;44
essere figlio;figliare;figlio;;;essere;;;0.1721847653388977;5095;100;5151;100
fare un figlio;figliare;figlio;;;fare;;;0.5963988900184631;70;100;71;100
fare film;filmare;film;;y;fare;c;;0.3869885206222534;131;1015;132;1015
fare il filo;filare;filo;;y;fare;c;;;0;749;13;749
fare il filo;affilare;filo;;;fare;;;;0;385;13;385
fare il filo;infilare;filo;;;fare;;;;0;2667;13;2667
fare il filo;sfilare;filo;;;fare;;;;0;2328;13;2328
avere fine;finire;fine;;y;avere;c;;0.5257526636123657;411;51047;411;51047
avere il fine;finire;fine;;;avere;;;0.19707205891609192;117;51047;117;51047
fare la fine;finire;fine;;y;fare;c;;;0;51047;0;51047
mettere fine;finire;fine;;y;mettere;c;;0.36277055740356445;1583;51047;1583;51047
essere in fiore;fiorire;fiore;;y;essere;c;;;0;2316;19;2316
essere in fiore;affiorare;fiore;;;essere;;;;0;1164;19;1164
essere in fiore;affiorare;fiore;;;essere;;;;0;1164;19;1164
essere in fiore;affiorare;fiore;;;essere;;;;0;1164;19;1164
essere in fiore;infiorare;fiore;;;essere;;;;0;44;19;44
essere in fiore;sfiorire;fiore;;;essere;;;;0;86;19;86
essere in fiore;sfiorire;fiore;;;essere;;;;0;86;19;86
essere in fiore;sfiorire;fiore;;;essere;;;;0;86;19;86
andare a fondo;fondare;fondo;;;andare;;;0.09562141448259354;126;53812;129;53812
andare a fondo;affondare;fondo;;y;andare;p;;0.46443256735801697;126;5291;129;5291
andare a fondo;sfondare;fondo;;;andare;;;0.23646727204322815;126;2228;129;2228
andare a fondo;sfondare;fondo;;;andare;;;0.23646727204322815;126;2228;129;2228
andare in fondo;fondare;fondo;;;andare;;;0.16291025280952454;35;53812;38;53812
andare in fondo;affondare;fondo;;;andare;;;0.18985667824745178;35;5291;38;5291
andare in fondo;sfondare;fondo;;;andare;;;0.2128697782754898;35;2228;38;2228
andare in fondo;sfondare;fondo;;;andare;;;0.2128697782754898;35;2228;38;2228
dare fondo;fondare;fondo;;;dare;;;0.15644964575767517;114;53812;114;53812
dare fondo;affondare;fondo;;;dare;;;0.2791973352432251;114;5291;114;5291
dare fondo;sfondare;fondo;;;dare;;;0.2913745939731598;114;2228;114;2228
