verbo;tipo;processo_formativo_process;processo_formativo_schema;processo_formativo_pattern;processo_formativo_pattern_semispec;processo_formativo_vsupp;cluster;sinonimia;x;y
sciacquare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;17.841043;12.279277
aleggiare;sintetico;Suffissazione;eggiare;;;;unknown;no_sinonimi;17.071236;10.591938
albeggiare;sintetico;Suffissazione;eggiare;;;;unknown;no_sinonimi;17.210072;11.532022
albergare;sintetico;Conversione;are;;;;unknown;no_sinonimi;14.74485;11.562074
alberare;sintetico;Conversione;are;;;;unknown;no_sinonimi;17.359629;10.427283
inalberare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;15.913872;12.498167
ambientare;sintetico;Conversione;are;;;;unknown;no_sinonimi;11.659938;11.222044
amoreggiare;sintetico;Suffissazione;eggiare;;;;unknown;no_sinonimi;14.94702;14.914859
inanellare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;15.295809;11.53039
angolare;sintetico;Conversione;are;;;;unknown;no_sinonimi;16.334698;9.978858
animare;sintetico;Conversione;are;;;;unknown;no_sinonimi;12.961809;11.19692
architettare;sintetico;Conversione;are;;;;unknown;no_sinonimi;12.476106;12.209532
inarcare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;16.820557;11.172095
argomentare;sintetico;Conversione;are;;;;unknown;no_sinonimi;13.879846;12.185814
arieggiare;sintetico;Suffissazione;eggiare;;;;unknown;no_sinonimi;17.04057;10.603247
armare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;15.693304;11.099679
armeggiare;sintetico;Suffissazione;eggiare;;;;unknown;no_sinonimi;16.34172;12.106623
articolare;sintetico;Conversione;are;;;;unknown;no_sinonimi;16.44792;9.914034
assassinare;sintetico;Conversione;are;;;;unknown;no_sinonimi;12.609066;15.185274
atteggiare;sintetico;Suffissazione;eggiare;;;;unknown;no_sinonimi;14.142052;13.511003
avventurare;sintetico;Conversione;are;;;;unknown;no_sinonimi;15.66564;14.587306
azionare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;15.623014;10.314894
baciare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;14.887237;14.509782
bagnare;sintetico;Conversione;are;;;;unknown;no_sinonimi;17.713505;10.717089
sbancare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;15.101422;11.255637
sbandierare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;14.269356;12.454684
sbarbare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;ha_sinonimi;17.380167;12.146487
basare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;14.531544;10.763313
battagliare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;15.295192;11.788027
bisognare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;15.428364;12.5426445
abbisognare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;ha_sinonimi;14.810796;10.626472
abboccare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;16.459011;12.877505
imboccare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;17.608221;10.269223
sboccare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;17.626038;10.340503
boccheggiare;sintetico;Suffissazione;eggiare;;;;unknown;no_sinonimi;16.872417;12.422599
bordare;sintetico;Conversione;are;;;;unknown;no_sinonimi;16.898079;9.522098
abbordare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;15.0290785;9.164059
bordeggiare;sintetico;Suffissazione;eggiare;;;;unknown;no_sinonimi;17.544184;10.563009
sborsare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;13.083634;12.93886
imboscare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;13.761316;13.750675
imbottigliare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;ha_sinonimi;17.86676;12.302854
abbracciare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;14.595749;14.220055
imbracciare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;15.986901;11.601504
sbracciarsi;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;16.222063;12.556173
calciare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;15.45075;11.698632
scalciare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;ha_sinonimi;16.40672;12.471164
calcificare;sintetico;Suffissazione;ificare;;;;unknown;no_sinonimi;17.001934;10.805251
calmare;sintetico;Conversione;are;;;;unknown;no_sinonimi;15.709322;13.494617
calzare;sintetico;Conversione;are;;;;unknown;no_sinonimi;16.87019;11.926854
incalzare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;15.076103;13.990962
scalzare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;15.579587;11.355898
incamerare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;12.325022;13.423339
incamiciare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;16.576065;10.551921
camminare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;16.183126;14.3821745
incamminare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;15.597797;14.663779
campionare;sintetico;Conversione;are;;;;unknown;no_sinonimi;14.830197;10.496729
campare;sintetico;Conversione;are;;;;unknown;no_sinonimi;14.620264;12.92274
campare;sintetico;Conversione;are;;;;unknown;no_sinonimi;14.589908;12.91225
campire;sintetico;Conversione;ire;;;;unknown;no_sinonimi;16.524187;9.55614
campire;sintetico;Conversione;ire;;;;unknown;no_sinonimi;16.481184;9.588472
accampare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;ha_sinonimi;12.76828;13.746669
scampare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;12.521153;13.043808
campeggiare;sintetico;Suffissazione;eggiare;;;;unknown;no_sinonimi;17.081858;9.946436
campeggiare;sintetico;Suffissazione;eggiare;;;;unknown;no_sinonimi;17.115747;9.914333
incanalare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;14.428185;10.390639
scanalare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;17.00526;9.580089
scanalare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;16.983824;9.536466
canalizzare;sintetico;Suffissazione;izzare;;;;unknown;no_sinonimi;14.551514;10.26543
canzonare;sintetico;Conversione;are;;;;unknown;no_sinonimi;15.006579;13.953063
capitalizzare;sintetico;Suffissazione;izzare;;;;unknown;no_sinonimi;13.293587;12.4944
capitanare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;11.625593;12.755593
capeggiare;sintetico;Suffissazione;eggiare;;;;unknown;ha_sinonimi;11.637188;12.69837
caratterizzare;sintetico;Suffissazione;izzare;;;;unknown;ha_sinonimi;16.658834;10.048895
carbonare;sintetico;Conversione;are;;;;unknown;no_sinonimi;13.043873;13.449133
carbonizzare;sintetico;Suffissazione;izzare;;;;unknown;no_sinonimi;16.639103;11.963853
carcerare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;12.890448;15.219335
incarcerare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;ha_sinonimi;12.739684;15.287657
scarcerare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;12.794707;15.313039
incarnare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;13.421705;12.053847
carrozzare;sintetico;Conversione;are;;;;unknown;no_sinonimi;15.321729;10.042993
scarrozzare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;15.256198;14.135344
incartare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;17.096516;12.712859
scartare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;13.223964;12.166426
scartare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;13.235873;12.174611
accasare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;12.240961;11.971089
incatenare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;12.944343;14.951136
scatenare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;13.717747;10.740444
causare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;13.816836;10.744037
accavallare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;16.933031;11.433528
cenare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;15.302972;14.86151
centrare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;15.159263;11.270029
accentrare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;13.911981;12.321301
incentrare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;14.44463;10.788635
chiavare;sintetico;Conversione;are;;;;unknown;no_sinonimi;16.454742;13.329363
cibare;sintetico;Conversione;are;;;;unknown;no_sinonimi;17.035824;12.870963
cifrare;sintetico;Conversione;are;;;;unknown;no_sinonimi;14.651822;10.52402
cimare;sintetico;Conversione;are;;;;unknown;no_sinonimi;16.83183;9.504952
classificare;sintetico;Suffissazione;ificare;;;;unknown;no_sinonimi;15.241158;10.95347
acclimatare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;17.549625;10.85724
climatizzare;sintetico;Suffissazione;izzare;;;;unknown;no_sinonimi;16.776754;10.371455
accodare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;15.535162;12.489513
scodare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;16.46628;11.398772
scodare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;16.503134;11.477071
accollare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;13.124666;12.837221
scollare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;16.991016;11.931086
colorare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;17.677723;11.588437
colorire;sintetico;Conversione;ire;;;;unknown;ha_sinonimi;16.284365;10.552316
scolorare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;17.43122;11.6536045
scolorire;sintetico;Parasintesi+DoppioStadioDerivativo;s_ire;;;;unknown;no_sinonimi;17.479305;11.749882
incolpare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;ha_sinonimi;13.409004;14.717131
colpire;sintetico;Conversione;ire;;;;unknown;ha_sinonimi;14.269193;10.693656
scolpire;sintetico;Parasintesi+DoppioStadioDerivativo;s_ire;;;;unknown;no_sinonimi;17.053492;9.764855
accoltellare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;12.863432;15.262072
commerciare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;12.827757;13.121031
accompagnare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;11.942416;12.131479
complimentare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;14.45569;14.328466
condizionare;sintetico;Conversione;are;;;;unknown;no_sinonimi;14.138485;10.837626
confessare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;13.77326;14.941143
sconfessare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;13.767651;12.129489
confinare;sintetico;Conversione;are;;;;unknown;no_sinonimi;17.683407;10.430255
sconfinare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;17.217642;10.445376
consigliare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;14.754185;12.801996
sconsigliare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;14.865939;12.77333
contattare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;13.964435;14.868307
contrattare;sintetico;Conversione;are;;;;unknown;no_sinonimi;13.131584;13.377527
incoraggiare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;ha_sinonimi;13.954395;11.394346
scoraggiare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;14.20338;11.806296
incornare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;15.446027;11.715061
scornare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;15.84251;12.787168
scornare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;15.811694;12.769048
cornificare;sintetico;Suffissazione;ificare;;;;unknown;ha_sinonimi;15.143476;13.955126
accorpare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;12.22696;13.2510395
corteggiare;sintetico;Suffissazione;eggiare;;;;unknown;ha_sinonimi;14.484399;14.665216
accostare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;13.560768;11.597558
scostare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;16.674965;10.959363
costeggiare;sintetico;Suffissazione;eggiare;;;;unknown;no_sinonimi;17.608862;10.269127
incrociare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;ha_sinonimi;17.183874;10.241641
cucinare;sintetico;Conversione;are;;;;unknown;no_sinonimi;17.772459;12.607801
accorare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;15.415985;13.308055
curare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;12.583811;11.126071
custodire;sintetico;Conversione;ire;;;;unknown;ha_sinonimi;14.079358;10.015682
dannare;sintetico;Conversione;are;;;;unknown;no_sinonimi;15.483763;13.446426
danneggiare;sintetico;Suffissazione;eggiare;;;;unknown;ha_sinonimi;14.252538;10.414316
addebitare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;13.2237425;12.835856
indebitare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;13.085723;12.988633
sdebitare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;14.343325;14.440349
addentare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;17.157612;12.669479
sdentare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;16.57715;12.810535
differenziare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;16.530905;10.107332
dimensionare;sintetico;Conversione;are;;;;unknown;no_sinonimi;16.343266;10.181238
deificare;sintetico;Suffissazione;ificare;;;;unknown;no_sinonimi;13.484241;14.055184
direzionare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;16.372328;11.228536
distanziare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;16.395935;10.148065
additare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;13.81493;14.023619
documentare;sintetico;Conversione;are;;;;unknown;no_sinonimi;13.624343;11.681493
dolorare;sintetico;Conversione;are;;;;unknown;no_sinonimi;16.271994;13.037382
addolorare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;ha_sinonimi;14.8733;14.150451
dotare;sintetico;Conversione;are;;;;unknown;no_sinonimi;14.63342;10.084059
addottorare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;12.508093;11.801501
dubitare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;14.110985;12.45097
emozionare;sintetico;Conversione;are;;;;unknown;no_sinonimi;14.82236;14.030005
entusiasmare;sintetico;Conversione;are;;;;unknown;no_sinonimi;14.839742;14.021685
esaminare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;14.080423;11.733745
esemplificare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;13.660032;11.789988
esiliare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;12.463305;15.062511
fabbricare;sintetico;Conversione;are;;;;unknown;no_sinonimi;13.315451;10.332892
affaccendare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;15.728448;13.811158
affacciare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;17.516329;10.10015
affamare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;16.666264;13.355159
sfamare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;16.949228;13.218796
infastidire;sintetico;Parasintesi+DoppioStadioDerivativo;in_ire;;;;unknown;ha_sinonimi;14.865023;14.128575
faticare;sintetico;Conversione;are;;;;unknown;no_sinonimi;15.257668;12.285934
affaticare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;16.13242;13.0429535
favorire;sintetico;Conversione;ire;;;;unknown;ha_sinonimi;14.03611;10.91542
favoreggiare;sintetico;Suffissazione;eggiare;;;;unknown;ha_sinonimi;13.290816;14.469918
ferrare;sintetico;Conversione;are;;;;unknown;no_sinonimi;15.180984;13.829126
afferrare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;16.343954;11.985447
sferrare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;14.912814;10.947268
sferrare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;14.868193;10.929476
festeggiare;sintetico;Suffissazione;eggiare;;;;unknown;ha_sinonimi;15.142541;14.532641
fiancare;sintetico;Conversione;are;;;;unknown;no_sinonimi;16.738262;9.749152
affiancare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;ha_sinonimi;11.959379;11.993914
sfiancare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;15.920975;12.997222
fiancheggiare;sintetico;Suffissazione;eggiare;;;;unknown;no_sinonimi;17.244404;9.853788
fiatare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;15.962489;13.083566
affiatare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;16.684395;12.684442
sfiatare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;16.382963;12.643574
figliare;sintetico;Conversione;are;;;;unknown;no_sinonimi;15.073484;13.576225
figurare;sintetico;Conversione;are;;;;unknown;no_sinonimi;12.257057;11.47561
sfigurare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;15.9564705;13.638621
sfilare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;16.621695;12.179935
filmare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;11.599489;11.062841
filare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;17.72446;11.933661
affilare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;16.767508;9.951064
infilare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;15.735806;11.4413595
sfilare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;16.650583;12.164521
finire;sintetico;Conversione;ire;;;;unknown;ha_sinonimi;12.364087;10.274178
fiorire;sintetico;Conversione;ire;;;;unknown;ha_sinonimi;13.12234;10.539737
affiorare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;17.24673;10.77249
affiorare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;17.238531;10.773384
affiorare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;17.218933;10.78999
infiorare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;17.008595;11.662938
sfiorire;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;16.679749;13.307308
sfiorire;sintetico;Parasintesi+DoppioStadioDerivativo;s_ire;;;;unknown;no_sinonimi;16.718723;13.256236
sfiorire;sintetico;Parasintesi+DoppioStadioDerivativo;s_ire;;;;unknown;no_sinonimi;16.717987;13.269328
fogliare;sintetico;Conversione;are;;;;unknown;no_sinonimi;17.137144;9.773469
sfogliare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;16.798124;13.904324
sfogliare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;16.801184;13.915842
sfogliare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;16.819464;13.919521
affollare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;15.986512;14.005495
fondare;sintetico;Conversione;are;;;;unknown;no_sinonimi;11.565736;12.492389
affondare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;ha_sinonimi;14.988328;9.175232
sfondare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;15.1066675;11.075596
sfondare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;15.132422;11.106405
formare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;11.564102;12.484089
informare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;13.810268;14.787283
informare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;13.83614;14.7695055
sformare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;17.580677;12.149633
formulare;sintetico;Conversione;are;;;;unknown;no_sinonimi;13.951157;11.9299755
forzare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;14.023593;11.515596
sforzare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;13.455041;10.101644
sforzare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;13.457333;10.116211
sforzare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;13.463862;10.116253
fotografare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;14.694945;9.81329
affratellare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;13.773988;13.627827
affrettare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;no_sinonimi;14.767104;12.99706
affrontare;sintetico;Parasintesi+DoppioStadioDerivativo;ad_are;;;;unknown;ha_sinonimi;13.125604;12.194027
fruttare;sintetico;Conversione;are;;;;unknown;no_sinonimi;12.972747;12.914132
sfruttare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;13.999385;10.416894
sfruttare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;14.04694;10.378949
